Date,Nifty,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BOSCHLTD,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
31-12-2021,17354.05078,1708.723511,725.2755737,369.6367188,4992.974609,3336.500732,721.9358521,677.5186768,3036.693604,1639.167725,6922.274414,680.7741089,17028.08789,373.7437134,3431.338867,939.5355835,128.1347198,4642.658691,4841.106934,2574.764404,79.70533752,1617.214722,1227.437622,2513.317139,1445.816162,645.6077881,2289.108887,471.2278137,276.828949,2284.672607,218,735.7349243,871.4881592,1799.064209,69.50354004,203.7521667,616.2716675,1795.019409,1871.928223,944.8721313,828.6709595,7377.874512,19326.47656,115.5796738,127.6917953,187.9049683,2361.041504,1190.982178,444.7323303,26771.79883,830.1005249,729.4817505,482.3999939,47.84407043,3587.625732,1734.706421,2504.956055,7547.722168,736.81427,222.1632385,706.550415,13.69999981,317.3449402
03-01-2022,17625.69922,1716.42041,731.5322266,378.9388123,4970.167969,3375.40918,719.723877,695.291626,3062.721924,1696.626953,7162.663574,688.2409058,17001.19922,374.3739624,3442.329346,926.0013428,136.2500763,4615.913086,4787.97998,2700.825684,81.09338379,1656.442627,1233.997803,2561.854736,1485.152466,646.552063,2302.590088,473.7050781,281.1373901,2285.786133,220.9499969,760.1384277,895.1850586,1809.261475,70.40740204,204.7333069,626.7001953,1823.352295,1898.537354,939.4061279,821.3953857,7474.687012,19299.25977,117.0662308,128.2746582,188.4565582,2396.634521,1204.325928,454.7289734,27029.66992,833.2905273,733.9462891,497.6000061,49.17851257,3663.824219,1729.135742,2506.39624,7679.813965,753.678894,230.3673706,709.8592529,14.05000019,319.4718018
04-01-2022,17805.25,1718.269531,734.1640015,382.3169861,4944.374023,3411.80249,710.0404663,708.0722046,3073.983398,1712.028198,7285.090332,694.3637085,16932.08398,374.2285461,3462.216797,919.7815552,134.2322083,4586.587891,4770.518066,2687.116699,81.92622375,1686.748291,1240.790527,2599.655029,1493.850464,649.1859741,2310.306641,471.7728271,282.0842896,2324.458496,217.75,768.2398071,887.4332886,1809.928711,71.09307861,205.8079071,629.8475952,1851.485352,1913.051514,926.5858154,823.4245605,7580.192383,19506.30078,123.4769897,132.5340424,193.6046448,2450.72168,1215.479004,466.9954834,26738.71289,822.2481079,724.9681396,489.6000061,49.45185852,3728.123047,1733.979858,2565.136963,7606.684082,751.2626343,218.2890778,712.6247559,14.5,318.8782654
05-01-2022,17925.25,1714.721069,749.7063599,385.4992676,4952.988281,3478.375977,709.1064453,725.7952271,3138.843506,1797.247681,7610.305176,696.9024048,17039.98242,382.7127991,3482.4375,924.060791,134.8463287,4523.818359,4726.072754,2760.230225,83.93119812,1741.627441,1219.667969,2598.051514,1529.326416,649.5834961,2329.924316,471.0296326,297.6136169,2338.542969,216.6999969,783.3491211,886.9917603,1757.989258,73.0878067,206.0882416,652.4898071,1920.99353,1923.961792,926.2877197,830.9971313,7724.492188,19552.09766,122.6408081,134.8206787,191.8119965,2462.187012,1214.732056,475.5916748,26997.18164,819.6959839,719.8167725,489.75,50.69159698,3705.282227,1683.359375,2558.334229,7615.831055,753.9747314,217.3775024,704.7231445,14.5,315.6138
06-01-2022,17745.90039,1712.37207,734.7102051,378.9877625,4944.224121,3466.392334,705.8131104,729.1900635,3194.591309,1797.057861,7687.144531,707.2564087,16983.1582,383.7793579,3497.092041,917.5424805,135.6798096,4455.044434,4675.807129,2798.525146,85.65856171,1715.209717,1195.614258,2546.307373,1504.796143,642.973877,2320.626953,474.7455444,297.4715576,2314.923096,221.8000031,780.3670044,904.4087524,1732.400513,73.0878067,204.3595276,633.1828613,1890.761719,1900.166504,917.442749,831.3435669,7830.543945,19269.44727,121.6187973,135.2241669,189.329895,2409.246338,1200.54187,474.9155884,26316.07031,814.2974243,711.8199463,488.8500061,50.07387924,3653.939697,1639.326904,2577.94751,7415.978516,771.9735107,220.3400879,697.0685425,14.25,321.0545654
07-01-2022,17812.69922,1698.378052,731.0356445,388.9753113,5001.390625,3527.196045,697.9974976,729.489563,3170.572754,1774.118164,7598.945801,701.581665,16792.92383,384.1672363,3556.326416,910.3275146,137.6976929,4482.385742,4645.173828,2805.727295,86.0904007,1792.070435,1200.871582,2523.277344,1515.351074,656.2925415,2323.509277,489.014679,303.0109863,2338.881836,220.3500061,788.5181274,904.9484253,1729.064941,73.86698914,204.0792084,632.149353,1903.10437,1880.814331,910.3865967,820.6034546,7854.287598,19519.83398,122.0369034,140.8286285,188.6404266,2428.687988,1212.292358,474.4809265,26830.12695,813.6594849,722.2698364,490.6000061,49.94904709,3698.132813,1650.710327,2554.908203,7514.811523,778.0881348,220.2098999,702.7477417,13.94999981,317.3449402
10-01-2022,18003.30078,1751.855225,733.7667236,391.0315857,5044.61377,3504.708984,724.8359985,741.6710205,3210.385986,1778.304565,7670.328125,701.8305054,17125.51563,385.4761963,3585.777588,911.7705078,140.9876862,4431.87207,4635.949219,2796.88623,88.00283051,1833.142456,1198.591919,2584.447266,1523.755737,658.9264526,2396.95874,488.420105,309.2132568,2330.072998,226.3000031,805.9137573,903.574646,1763.80249,74.61501312,208.6579132,631.4447021,1946.777954,1928.404907,932.4990845,833.4223022,8072.451172,19328.73242,122.5014496,141.9943542,187.5372467,2430.681885,1223.943237,486.4576416,26729.73828,811.4509277,718.1488037,503.7000122,50.32354736,3723.42041,1662.481445,2639.121826,7541.855957,810.2886353,220.8609772,684.9691772,14,324.7641602
11-01-2022,18055.75,1843.116455,759.8361206,389.3669739,5038.438477,3490.161621,707.5335693,742.1203613,3211.927979,1778.374268,7609.362793,700.3371582,16995.05469,379.2705994,3562.036133,911.5217285,139.1014099,4482.236328,4606.549316,2775.876221,87.47845459,1841.16748,1250.28186,2634.297119,1530.352539,654.1556396,2387.800537,481.929657,301.8273621,2326.781494,221.25,805.8143311,900.729126,1768.424561,73.92932892,207.3964233,606.6417236,1935.634766,1936.353149,940.2011719,832.8779297,8090.582031,19381.64258,122.919548,144.3258057,187.3993683,2448.179199,1228.22522,488.6791382,26822.49023,817.0458984,724.7719116,501.2999878,48.6533432,3758.016846,1682.971802,2635.000488,7562.885254,808.2668457,215.5543365,685.6112671,13.89999962,321.2029724
12-01-2022,18212.34961,1829.322388,758.296814,389.6117554,4993.970703,3495.142334,704.7808228,745.7148438,3215.058838,1791.942383,7713.1875,726.968811,17111.45703,376.8950195,3520.97583,901.8188477,139.8032684,4458.766113,4630.375,2797.283447,88.58889771,1868.18335,1258.191162,2660.096191,1521.312622,669.1640015,2408.487305,493.4242249,302.2061157,2335.977783,220.6999969,818.8361816,923.8863525,1789.248169,74.27217102,208.1439819,617.3051147,1955.422729,1949.238037,946.9591064,871.6313477,8117.306152,19327.85156,124.3596497,147.9126434,188.4105988,2513.532471,1244.158203,492.8323669,26502.02148,820.7756958,722.2698364,507.25,49.38298416,3704.274658,1676.480713,2594.879883,7614.986328,811.0776367,216.5961304,682.8456421,13.75,322.3900146
13-01-2022,18257.80078,1852.5625,766.8873291,388.1430054,4963.047363,3408.794434,705.4689941,739.5742798,3225.24585,1820.886719,7746.770508,728.5617065,17103.14844,382.5188599,3567.459961,919.5825195,144.5408783,4555.177734,4662.488281,2813.972412,89.42173767,1851.086548,1241.53479,2678.073242,1493.312988,666.2815552,2411.369385,502.8874207,304.6680908,2336.994385,220.5500031,819.7805176,909.7074585,1807.689087,75.51885986,209.2652893,646.2420044,1925.19104,1992.879272,953.0214233,886.9248657,8024.21875,19335.00977,125.3816376,147.0159302,191.2144775,2527.689941,1253.419067,493.8948059,26640.70313,849.5352173,716.4807129,511.9500122,52.56626892,3740.742432,1665.194214,2601.13623,7563.382324,829.4215698,221.1865845,641.7573853,14,321.9448853
