Instrument,SoldQuantity,BuyAvg,BuyValue,SellAvg,SellValue,NetRealizedPnL,RealisedGLPerc,CloseQuantityAsOnLastDay,BuyAvgOpenPrice,SellAvgPrice,CMP,NetUnrealizedPnL,NetUnrealizedPnlPerc,TotalGL,TotalGLPerc,DayGL,DayGLPerc,AssetType
BAJFINANCE-FUT-30Jul2020-NSE,8000,3132.94,25063520,3139.18,25113440,49920,0.20%,0,0,0,0,0,0,49920,0.20%,,%,FnO
BAJFINANCE-OPT-25Jun2020-CE-2600-NSE,750,64.91,48682.5,104.31,78232.5,29550,37.77%,0,0,0,0,0,0,29550,60.70%,,%,FnO
BAJFINANCE-OPT-25Jun2020-PE-2300-NSE,750,30.09,22567.5,72.32,54240,31672.5,58.39%,0,0,0,0,0,0,31672.5,140.35%,,%,FnO
BAJFINANCE-OPT-25Jun2020-PE-2800-NSE,1000,17.08,17080,39.78,39780,22700,132.90%,0,0,0,0,0,0,22700,132.90%,,%,FnO
BAJFINANCE-OPT-26Nov2020-CE-4600-NSE,2000,110.24,220480,105.71,211420,-9060,-4.11%,0,0,0,0,0,0,-9060,-4.11%,,%,FnO
BAJFINANCE-OPT-26Nov2020-PE-4500-NSE,2000,7.18,14360,26.89,53780,39420,73.30%,0,0,0,0,0,0,39420,274.51%,,%,FnO
BAJFINANCE-OPT-26Nov2020-PE-4600-NSE,2000,133.25,266500,129.69,259380,-7120,-2.67%,0,0,0,0,0,0,-7120,-2.67%,,%,FnO
BAJFINANCE-OPT-26Nov2020-PE-4700-NSE,2000,113.24,226480,121.79,243580,17100,7.55%,0,0,0,0,0,0,17100,7.55%,,%,FnO
BAJFINANCE-OPT-30Jul2020-CE-3000-NSE,1000,266.23,266230,283.51,283510,17280,6.49%,0,0,0,0,0,0,17280,6.49%,,%,FnO
BAJFINANCE-OPT-30Jul2020-CE-3500-NSE,1000,15.47,15470,66.36,66360,50890,76.69%,0,0,0,0,0,0,50890,328.96%,,%,FnO
BAJFINANCE-OPT-30Jul2020-PE-3000-NSE,1000,32.37,32370,43.89,43890,11520,26.25%,0,0,0,0,0,0,11520,35.59%,,%,FnO
BAJFINANCE-OPT-31Dec2020-PE-4800-NSE,4000,280.8,1123180,274.27,1097080,-26100,-2.31%,0,0,0,0,0,0,-26100,-2.32%,,%,FnO
BAJFINANCE-OPT-31Dec2020-PE-4900-NSE,2000,213.3,426600,240.1,480200,53600,12.56%,0,0,0,0,0,0,53600,12.56%,,%,FnO
BALKRISIND-FUT-24Sep2020-NSE,2400,1390.42,3337008,1397.16,3353184,16176,0.48%,0,0,0,0,0,0,16176,0.48%,,%,FnO
BALKRISIND-FUT-26Nov2020-NSE,2400,1328.51,3188424,1344.78,3227472,39048,1.22%,0,0,0,0,0,0,39048,1.22%,,%,FnO
BALKRISIND-FUT-28Jan2021-NSE,1600,1728.48,2765568,1733.58,2773728,8160,0.30%,0,0,0,0,0,0,8160,0.30%,,%,FnO
BALKRISIND-FUT-29Oct2020-NSE,4800,1373.74,6593952,1354.14,6499872,-94080,-1.43%,0,0,0,0,0,0,-94080,-1.43%,,%,FnO
BALKRISIND-OPT-24Sep2020-CE-1400-NSE,2400,31.17,74808,21.95,52680,-22128,-29.58%,0,0,0,0,0,0,-22128,-29.58%,,%,FnO
BALKRISIND-OPT-28Jan2021-CE-1800-NSE,1600,20.96,33536,14.94,23904,-9632,-28.72%,0,0,0,0,0,0,-9632,-28.72%,,%,FnO
BALKRISIND-OPT-29Oct2020-CE-1360-NSE,2400,5.05,12120,16.91,40584,28464,70.14%,0,0,0,0,0,0,28464,234.85%,,%,FnO
BANDHANBNK-FUT-30Jul2020-NSE,7200,385.06,2772432,391.4,2818080,45648,1.65%,0,0,0,0,0,0,45648,1.65%,,%,FnO
BANDHANBNK-FUT-31Dec2020-NSE,5400,407.17,2198718,413.33,2231982,33264,1.49%,0,0,0,0,0,0,33264,1.51%,,%,FnO
BANDHANBNK-OPT-24Sep2020-CE-320-NSE,12600,11.92,150192,14.47,182322,32130,21.39%,0,0,0,0,0,0,32130,21.39%,,%,FnO
BANDHANBNK-OPT-29Oct2020-PE-320-NSE,10800,16.57,178956,14.17,153036,-25920,-14.48%,0,0,0,0,0,0,-25920,-14.48%,,%,FnO
BANDHANBNK-OPT-31Dec2020-PE-380-NSE,5400,4.96,26784,5.23,28242,1458,5.16%,0,0,0,0,0,0,1458,5.44%,,%,FnO
BANKBARODA-OPT-28May2020-CE-50-NSE,27000,1.65,44550,1.59,42930,-1620,-3.64%,0,0,0,0,0,0,-1620,-3.64%,,%,FnO
BANKBARODA-OPT-31Dec2020-CE-65-NSE,24600,4.66,114636,4.59,112914,-1722,-1.50%,0,0,0,0,0,0,-1722,-1.50%,,%,FnO
BANKNIFTY-FUT-24Sep2020-NSE,4250,23052.69,97973935.5,23084.76,98110233,136297.5,0.43%,0,0,0,0,0,0,136297.5,0.14%,,%,FnO
BANKNIFTY-FUT-25Feb2021-NSE,2100,35036.67,73577016,35597.57,74754904,1177888,1.59%,0,0,0,0,0,0,1177888,1.60%,,%,FnO
BANKNIFTY-FUT-25Jun2020-NSE,7000,20670.64,144694450,20749.51,145246555,552105,0.38%,0,0,0,0,0,0,552105,0.38%,,%,FnO
BANKNIFTY-FUT-25Mar2021-NSE,2500,34955.09,87387720,35352.18,88380460,992740,1.13%,0,0,0,0,0,0,992740,1.14%,,%,FnO
BANKNIFTY-FUT-26Nov2020-NSE,6500,26710.82,173620305,26393.75,171559370,-2060935,-1.20%,0,0,0,0,0,0,-2060935,-1.19%,,%,FnO
BANKNIFTY-FUT-27Aug2020-NSE,3075,21493.49,66092491.75,21726.92,66810274.5,717782.75,1.07%,0,0,0,0,0,0,717782.75,1.09%,,%,FnO
BANKNIFTY-FUT-28Jan2021-NSE,2000,31568.16,63136320,31800.49,63600970,464650,0.74%,0,0,0,0,0,0,464650,0.74%,,%,FnO
BANKNIFTY-FUT-28May2020-NSE,6000,19573.63,117441750,19935.89,119615335,2173585,1.82%,0,0,0,0,0,0,2173585,1.85%,,%,FnO
BANKNIFTY-FUT-29Oct2020-NSE,2500,23469.95,58674875,22495.11,56237765,-2437110,-4.34%,0,0,0,0,0,0,-2437110,-4.15%,,%,FnO
BANKNIFTY-FUT-30Apr2020-NSE,5500,19765.55,108710530,19791.27,108851990,141460,-0.04%,0,0,0,0,0,0,141460,0.13%,,%,FnO
BANKNIFTY-FUT-30Jul2020-NSE,10500,21859.86,229528550,22059.82,231628080,2099530,0.91%,0,0,0,0,0,0,2099530,0.91%,,%,FnO
BANKNIFTY-FUT-31Dec2020-NSE,2000,30286,60572000,30319.82,60639630,67630,0.11%,0,0,0,0,0,0,67630,0.11%,,%,FnO
BANKNIFTY-OPT-01Apr2020-CE-18200-NSE,1500,30.86,46290,123.73,185595,139305,300.94%,0,0,0,0,0,0,139305,300.94%,,%,FnO
BANKNIFTY-OPT-01Apr2020-CE-18300-NSE,2000,19.93,39860,55.89,111780,71920,180.43%,0,0,0,0,0,0,71920,180.43%,,%,FnO
BANKNIFTY-OPT-01Apr2020-CE-18500-NSE,1000,14.1,14100,78.83,78830,64730,459.08%,0,0,0,0,0,0,64730,459.08%,,%,FnO
BANKNIFTY-OPT-01Apr2020-CE-18800-NSE,1000,32.96,32960,70.89,70890,37930,115.08%,0,0,0,0,0,0,37930,115.08%,,%,FnO
BANKNIFTY-OPT-01Apr2020-CE-19000-NSE,1000,12.76,12760,55.87,55870,43110,337.85%,0,0,0,0,0,0,43110,337.85%,,%,FnO
BANKNIFTY-OPT-01Apr2020-CE-19200-NSE,1000,67.42,67420,106.42,106420,39000,57.85%,0,0,0,0,0,0,39000,57.85%,,%,FnO
BANKNIFTY-OPT-01Apr2020-PE-18000-NSE,1000,35.96,35960,68.89,68890,32930,91.57%,0,0,0,0,0,0,32930,91.57%,,%,FnO
BANKNIFTY-OPT-01Apr2020-PE-18200-NSE,1500,150.19,225285,78.97,118455,-106830,-47.42%,0,0,0,0,0,0,-106830,-47.42%,,%,FnO
BANKNIFTY-OPT-01Apr2020-PE-18500-NSE,1000,143.05,143050,198.77,198770,55720,38.95%,0,0,0,0,0,0,55720,38.95%,,%,FnO
BANKNIFTY-OPT-01Apr2021-CE-34500-NSE,4000,166.46,665840,164.69,658760,-7080,-1.07%,0,0,0,0,0,0,-7080,-1.06%,,%,FnO
BANKNIFTY-OPT-01Apr2021-PE-32500-NSE,3000,97,291000,284.33,852990,561990,65.88%,0,0,0,0,0,0,561990,193.12%,,%,FnO
BANKNIFTY-OPT-01Apr2021-PE-33500-NSE,1500,620.55,930825,298.85,448275,-482550,-51.84%,0,0,0,0,0,0,-482550,-51.84%,,%,FnO
BANKNIFTY-OPT-01Oct2020-CE-21500-NSE,4000,433.37,1733460,60.12,240480,-1492980,-186.09%,0,0,0,0,0,0,-1492980,-86.13%,,%,FnO
BANKNIFTY-OPT-01Oct2020-CE-22000-NSE,4000,13.37,53480,90.7,362780,309300,85.26%,0,0,0,0,0,0,309300,578.35%,,%,FnO
BANKNIFTY-OPT-01Oct2020-CE-22100-NSE,2000,57.91,115820,63.12,126240,10420,9.00%,0,0,0,0,0,0,10420,9.00%,,%,FnO
BANKNIFTY-OPT-01Oct2020-CE-22200-NSE,4000,47.29,189160,43.56,174240,-14920,-7.89%,0,0,0,0,0,0,-14920,-7.89%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-20000-NSE,500,13.27,6635,185.99,92995,86360,92.87%,0,0,0,0,0,0,86360,1301.58%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-20500-NSE,4000,58.54,234160,283.87,1135480,901320,79.38%,0,0,0,0,0,0,901320,384.92%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-21000-NSE,5050,44.12,222821,118.21,596962.5,374141.5,45.15%,0,0,0,0,0,0,374141.5,167.91%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-21200-NSE,2000,636.9,1273800,181.09,362180,-911620,-71.57%,0,0,0,0,0,0,-911620,-71.57%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-21500-NSE,4100,159.65,654575,200.07,820295,165720,25.32%,0,0,0,0,0,0,165720,25.32%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-21700-NSE,2000,15.74,31480,50.38,100760,69280,220.08%,0,0,0,0,0,0,69280,220.08%,,%,FnO
BANKNIFTY-OPT-01Oct2020-PE-21900-NSE,2000,13,26000,49.07,98140,72140,277.46%,0,0,0,0,0,0,72140,277.46%,,%,FnO
BANKNIFTY-OPT-02Jul2020-CE-21000-NSE,2000,821.59,1643180,518.44,1036880,-606300,-58.47%,0,0,0,0,0,0,-606300,-36.90%,,%,FnO
BANKNIFTY-OPT-02Jul2020-CE-21500-NSE,2020,541.08,1092981.6,423.55,855571,-237410.6,-21.72%,0,0,0,0,0,0,-237410.6,-21.72%,,%,FnO
BANKNIFTY-OPT-02Jul2020-CE-22000-NSE,7000,256.39,1794750,216.29,1514020,-280730,-17.50%,0,0,0,0,0,0,-280730,-15.64%,,%,FnO
BANKNIFTY-OPT-02Jul2020-PE-20500-NSE,4000,67.79,271160,54,216000,-55160,-20.34%,0,0,0,0,0,0,-55160,-20.34%,,%,FnO
BANKNIFTY-OPT-02Jul2020-PE-21000-NSE,3000,57.29,171870,364.11,1092340,920470,84.27%,0,0,0,0,0,0,920470,535.56%,,%,FnO
BANKNIFTY-OPT-02Jul2020-PE-21500-NSE,6020,331.17,1993637.4,449.61,2706646.8,713009.4,31.73%,0,0,0,0,0,0,713009.4,35.76%,,%,FnO
BANKNIFTY-OPT-02Jul2020-PE-21700-NSE,500,24.45,12225,48.62,24310,12085,98.85%,0,0,0,0,0,0,12085,98.85%,,%,FnO
BANKNIFTY-OPT-02Jul2020-PE-22000-NSE,3000,10.78,32340,80.22,240660,208320,644.16%,0,0,0,0,0,0,208320,644.16%,,%,FnO
BANKNIFTY-OPT-02Jul2020-PE-22100-NSE,1740,91.19,158670.6,39.02,67894.8,-90775.8,-57.21%,0,0,0,0,0,0,-90775.8,-57.21%,,%,FnO
BANKNIFTY-OPT-03Dec2020-CE-29500-NSE,2000,350.74,701480,109.76,219520,-481960,-65.59%,0,0,0,0,0,0,-481960,-68.71%,,%,FnO
BANKNIFTY-OPT-03Dec2020-CE-29600-NSE,2000,33.81,67620,51.59,103180,35560,52.59%,0,0,0,0,0,0,35560,52.59%,,%,FnO
BANKNIFTY-OPT-03Dec2020-CE-29800-NSE,1500,10.21,15315,207.5,311250,295935,95.08%,0,0,0,0,0,0,295935,1932.32%,,%,FnO
BANKNIFTY-OPT-03Dec2020-CE-30000-NSE,3000,244.98,734940,183.51,550530,-184410,-19.16%,0,0,0,0,0,0,-184410,-25.09%,,%,FnO
BANKNIFTY-OPT-03Dec2020-CE-30500-NSE,2000,10.81,21620,272.99,545980,524360,96.04%,0,0,0,0,0,0,524360,2425.35%,,%,FnO
BANKNIFTY-OPT-03Dec2020-CE-31000-NSE,1000,65.45,65450,256.01,256010,190560,74.43%,0,0,0,0,0,0,190560,291.15%,,%,FnO
BANKNIFTY-OPT-03Dec2020-PE-28500-NSE,5000,89.98,449890,169.56,847780,397890,46.93%,0,0,0,0,0,0,397890,88.44%,,%,FnO
BANKNIFTY-OPT-03Dec2020-PE-29200-NSE,1500,26.82,40230,193.04,289565,249335,86.11%,0,0,0,0,0,0,249335,619.77%,,%,FnO
BANKNIFTY-OPT-03Dec2020-PE-29500-NSE,6825,368.76,2516785.25,273.97,1869853.25,-646932,-28.89%,0,0,0,0,0,0,-646932,-25.70%,,%,FnO
BANKNIFTY-OPT-03Sep2020-CE-23500-NSE,2000,417.45,834900,621.44,1242880,407980,48.87%,0,0,0,0,0,0,407980,48.87%,,%,FnO
BANKNIFTY-OPT-03Sep2020-CE-23700-NSE,1000,449.08,449080,458.68,458680,9600,2.14%,0,0,0,0,0,0,9600,2.14%,,%,FnO
BANKNIFTY-OPT-03Sep2020-CE-24000-NSE,2000,357.14,714280,193.09,386180,-328100,-84.96%,0,0,0,0,0,0,-328100,-45.93%,,%,FnO
BANKNIFTY-OPT-03Sep2020-CE-24200-NSE,3500,189.1,661855,274.33,960170,298315,31.07%,0,0,0,0,0,0,298315,45.07%,,%,FnO
BANKNIFTY-OPT-03Sep2020-CE-24500-NSE,6000,420.68,2524080,294.64,1767860,-756220,-29.96%,0,0,0,0,0,0,-756220,-29.96%,,%,FnO
BANKNIFTY-OPT-03Sep2020-CE-25000-NSE,3000,101.16,303480,180.16,540480,237000,43.85%,0,0,0,0,0,0,237000,78.09%,,%,FnO
BANKNIFTY-OPT-03Sep2020-PE-22500-NSE,4000,140.15,560600,171.05,684200,123600,15.37%,0,0,0,0,0,0,123600,22.05%,,%,FnO
BANKNIFTY-OPT-03Sep2020-PE-23000-NSE,5000,291,1454990,248.58,1242910,-212080,-13.37%,0,0,0,0,0,0,-212080,-14.58%,,%,FnO
BANKNIFTY-OPT-03Sep2020-PE-23200-NSE,1025,38.88,39852,203.13,208208.25,168356.25,80.86%,0,0,0,0,0,0,168356.25,422.45%,,%,FnO
BANKNIFTY-OPT-03Sep2020-PE-23500-NSE,1500,16.28,24420,155.75,233625,209205,89.55%,0,0,0,0,0,0,209205,856.70%,,%,FnO
BANKNIFTY-OPT-03Sep2020-PE-23700-NSE,1000,207.96,207960,292.95,292950,84990,40.87%,0,0,0,0,0,0,84990,40.87%,,%,FnO
BANKNIFTY-OPT-03Sep2020-PE-24200-NSE,2000,692.14,1384280,334.33,668660,-715620,-107.02%,0,0,0,0,0,0,-715620,-51.70%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-30000-NSE,2000,4924.26,9848520,632.9,1265800,-8582720,-678.05%,0,0,0,0,0,0,-8582720,-87.15%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-31000-NSE,2000,480.96,961920,3705.74,7411475,6449555,670.49%,0,0,0,0,0,0,6449555,670.49%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-31500-NSE,1000,581.07,581070,312.46,312460,-268610,-85.97%,0,0,0,0,0,0,-268610,-46.23%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-32000-NSE,2000,456.11,912220,184.03,368060,-544160,-59.65%,0,0,0,0,0,0,-544160,-59.65%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-32500-NSE,2000,498.62,997240,1923.51,3847020,2849780,285.77%,0,0,0,0,0,0,2849780,285.77%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-33000-NSE,4000,489.14,1956540,928.2,3712780,1756240,89.76%,0,0,0,0,0,0,1756240,89.76%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-33200-NSE,2000,1270.45,2540900,203.96,407920,-2132980,-522.89%,0,0,0,0,0,0,-2132980,-83.95%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-33500-NSE,2000,1174.62,2349240,220.07,440140,-1909100,-433.75%,0,0,0,0,0,0,-1909100,-81.26%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-34000-NSE,2000,436.09,872180,718.93,1437860,565680,64.86%,0,0,0,0,0,0,565680,64.86%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-34600-NSE,500,225.93,112965,365.39,182695,69730,61.73%,0,0,0,0,0,0,69730,61.73%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-34800-NSE,3500,256.41,897435,212.02,742070,-155365,-17.31%,0,0,0,0,0,0,-155365,-17.31%,,%,FnO
BANKNIFTY-OPT-04Feb2021-CE-35000-NSE,2500,138.74,346850,166.56,416400,69550,16.70%,0,0,0,0,0,0,69550,20.05%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-29000-NSE,2000,290.9,581800,105.2,210400,-371400,-63.84%,0,0,0,0,0,0,-371400,-63.84%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-30000-NSE,2000,31.72,63440,573.64,1147280,1083840,94.47%,0,0,0,0,0,0,1083840,1708.45%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-32000-NSE,4000,835.87,3343460,1034.14,4136540.5,793080.5,23.72%,0,0,0,0,0,0,793080.5,23.72%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-33000-NSE,2000,416.17,832340,448.68,897360,65020,7.81%,0,0,0,0,0,0,65020,7.81%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-33500-NSE,2000,46.89,93780,167.23,334450,240670,71.96%,0,0,0,0,0,0,240670,256.63%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-34200-NSE,2000,88.88,177750,147.37,294745,116995,41.45%,0,0,0,0,0,0,116995,65.82%,,%,FnO
BANKNIFTY-OPT-04Feb2021-PE-34600-NSE,2000,132.2,264400,150.32,300640,36240,13.71%,0,0,0,0,0,0,36240,13.71%,,%,FnO
BANKNIFTY-OPT-04Jun2020-CE-18000-NSE,2000,318.18,636360,1346.62,2693240,2056880,323.23%,0,0,0,0,0,0,2056880,323.23%,,%,FnO
BANKNIFTY-OPT-04Jun2020-CE-20000-NSE,2000,431.25,862500,1042.68,2085360,1222860,141.78%,0,0,0,0,0,0,1222860,141.78%,,%,FnO
BANKNIFTY-OPT-04Jun2020-CE-20500-NSE,3000,582.03,1746080,200.79,602360,-1143720,-189.87%,0,0,0,0,0,0,-1143720,-65.50%,,%,FnO
BANKNIFTY-OPT-04Jun2020-CE-21200-NSE,2000,8.99,17980,105.25,210500,192520,91.46%,0,0,0,0,0,0,192520,1070.75%,,%,FnO
BANKNIFTY-OPT-04Jun2020-PE-18200-NSE,4000,27.05,108200,155.89,623560,515360,82.65%,0,0,0,0,0,0,515360,476.30%,,%,FnO
BANKNIFTY-OPT-04Jun2020-PE-19000-NSE,4000,377.66,1510640,275.76,1103020,-407620,-26.98%,0,0,0,0,0,0,-407620,-26.98%,,%,FnO
BANKNIFTY-OPT-04Jun2020-PE-19500-NSE,1000,24,24000,238.75,238750,214750,89.95%,0,0,0,0,0,0,214750,894.79%,,%,FnO
BANKNIFTY-OPT-04Jun2020-PE-20400-NSE,2000,33.68,67360,81.2,162400,95040,58.52%,0,0,0,0,0,0,95040,141.09%,,%,FnO
BANKNIFTY-OPT-04Jun2020-PE-20500-NSE,2000,52,104000,108.03,216060,112060,107.75%,0,0,0,0,0,0,112060,107.75%,,%,FnO
BANKNIFTY-OPT-04Jun2020-PE-20800-NSE,4000,292.99,1171940,113.38,453500,-718440,-118.09%,0,0,0,0,0,0,-718440,-61.30%,,%,FnO
BANKNIFTY-OPT-04Mar2021-CE-35500-NSE,1000,516.05,516050,257,257000,-259050,-100.80%,0,0,0,0,0,0,-259050,-50.20%,,%,FnO
BANKNIFTY-OPT-04Mar2021-CE-36000-NSE,3500,361.12,1263930,400.63,1402220,138290,12.08%,0,0,0,0,0,0,138290,10.94%,,%,FnO
BANKNIFTY-OPT-04Mar2021-CE-36300-NSE,1500,50.44,75660,68.59,102885,27225,35.98%,0,0,0,0,0,0,27225,35.98%,,%,FnO
BANKNIFTY-OPT-04Mar2021-CE-36500-NSE,25,126.77,3169.25,180.77,4519.25,1350,42.60%,0,0,0,0,0,0,1350,42.60%,,%,FnO
BANKNIFTY-OPT-04Mar2021-CE-37000-NSE,4000,376.96,1507820,160.61,642440,-865380,-57.39%,0,0,0,0,0,0,-865380,-57.39%,,%,FnO
BANKNIFTY-OPT-04Mar2021-CE-38000-NSE,2000,60.85,121700,204.95,409900,288200,70.31%,0,0,0,0,0,0,288200,236.81%,,%,FnO
BANKNIFTY-OPT-04Mar2021-PE-34500-NSE,7000,91.61,641270,225.23,1576580,935310,62.89%,0,0,0,0,0,0,935310,145.85%,,%,FnO
BANKNIFTY-OPT-04Mar2021-PE-35000-NSE,3000,165.66,496980,380.2,1140600,643620,56.43%,0,0,0,0,0,0,643620,129.51%,,%,FnO
BANKNIFTY-OPT-04Mar2021-PE-35500-NSE,7000,366.42,2564940,247.69,1733830,-831110,-32.25%,0,0,0,0,0,0,-831110,-32.40%,,%,FnO
BANKNIFTY-OPT-04Mar2021-PE-36000-NSE,6000,560.91,3365450,232.89,1397330,-1968120,-91.28%,0,0,0,0,0,0,-1968120,-58.48%,,%,FnO
