ScriptName,ISIN,BuyQty,BuyRate,BuyVal,SellQty,SellRate,SellVal,LTPRate,LTPVal,NetRealizedPnL,IncomeTax
HDFCBANK29Dec2022CE1660.00,NSE-F&O,7150,1.43313,10246.8795,7150,15.242892,108986.6778,0,0,98739.7983,29621.94
HDFCBANK29Dec2022PE1600.00,NSE-F&O,5500,2.633915,14486.5325,5500,14.451455,79483.0025,0,0,64996.47,19498.94
HDFCBANK29Dec2022PE1620.00,NSE-F&O,5500,15.042058,82731.319,5500,14.451455,79483.0025,0,0,-3248.3165,0
HDFCBANK29Dec2022PE1640.00,NSE-F&O,4950,13.240877,65542.34115,4950,16.64898,82412.451,0,0,16870.10985,5061.03
HDFCBANK29Dec2022PE1660.00,NSE-F&O,4950,43.160509,213644.5196,4950,17.947513,88840.18935,0,0,-124804.3302,0
HDFCBANK29Mar2023,NSE-F&O,5500,1654.674265,9100708.458,5500,1664.095913,9152527.522,0,0,51819.064,15545.72
HDFCBANK29Mar2023CE1600.00,NSE-F&O,5500,11.940024,65670.132,5500,22.891936,125905.648,0,0,60235.516,18070.65
HDFCBANK29Mar2023CE1620.00,NSE-F&O,5500,34.054535,187299.9425,5500,35.178082,193479.451,0,0,6179.5085,1853.85
HDFCBANK29Mar2023CE1680.00,NSE-F&O,5500,3.684605,20265.3275,5500,10.1563,55859.65,0,0,35594.3225,10678.3
HDFCBANK29Mar2023PE1570.00,NSE-F&O,5500,12.084096,66462.528,5500,16.947618,93211.899,0,0,26749.371,8024.81
HDFCBANK29Mar2023PE1600.00,NSE-F&O,5500,33.053876,181796.318,5500,8.907709,48992.3995,0,0,-132803.9185,0
HDFCBANK29Sep2022,NSE-F&O,11000,1460.830748,16069138.23,11000,1396.898816,15365886.97,0,0,-703251.2575,0
HDFCBANK29Sep2022CE1500.00,NSE-F&O,5500,0.232338,1277.859,5500,5.911091,32511.0005,0,0,31233.1415,9369.94
HDFCBANK29Sep2022CE1560.00,NSE-F&O,5500,0.532536,2928.948,5500,12.35382,67946.01,0,0,65017.062,19505.12
HDFCBANK30Jun2022CE1320.00,NSE-F&O,5500,27.650327,152076.7985,5500,14.950893,82229.9115,0,0,-69846.887,0
HDFCBANK30Jun2022CE1340.00,NSE-F&O,5500,12.590449,69247.4695,5500,13.702302,75362.661,0,0,6115.1915,1834.56
HDFCBANK30Jun2022CE1400.00,NSE-F&O,10450,2.784014,29092.9463,10450,10.40338942,108715.4195,0,0,79622.47315,23886.74
HDFCBANK30Jun2022PE1320.00,NSE-F&O,5500,3.534507,19439.7885,5500,24.190473,133047.6015,0,0,113607.813,34082.34
HDFCBANK30Jun2022PE1340.00,NSE-F&O,5500,3.654585,20100.2175,5500,10.1563,55859.65,0,0,35759.4325,10727.83
HDFCLIFE25Jan2023,NSE-F&O,6600,598.091356,3947402.95,6600,599.748359,3958339.169,0,0,10936.2198,3280.87
HDFCLIFE25Jan2023CE600.00,NSE-F&O,17600,14.01581638,246678.3682,17600,15.962776,280944.8576,0,0,34266.4894,10279.95
HDFCLIFE25Jan2023PE610.00,NSE-F&O,13200,15.575927,205602.2364,13200,16.914512,223271.5584,0,0,17669.322,5300.8
HDFCLIFE28Jul2022,NSE-F&O,2200,561.185709,1234608.56,2200,562.8577,1238286.94,0,0,3678.3802,1103.51
HEROMOTOCO28Jul2022CE2800.00,NSE-F&O,2700,73.457156,198334.3212,2700,64.618059,174468.7593,0,0,-23865.5619,0
HINDALCO23Feb2023CE450.00,NSE-F&O,5600,1.113348,6234.7488,5600,1.685454,9438.5424,0,0,3203.7936,961.14
HINDALCO29Mar2023,NSE-F&O,5600,439.071398,2458799.829,5600,440.368109,2466061.41,0,0,7261.5816,2178.47
HINDALCO30Jun2022,NSE-F&O,3225,413.263147,1332773.649,3225,415.395039,1339649.001,0,0,6875.3517,2062.61
HINDUNILVR25Jan2023CE2600.00,NSE-F&O,3000,40.585597,121756.791,3000,43.691657,131074.971,0,0,9318.18,2795.45
ICICIBANK23Feb2023CE850.00,NSE-F&O,4900,14.034451,68768.8099,4900,11.91128,58365.272,0,0,-10403.5379,0
ICICIBANK23Feb2023PE800.00,NSE-F&O,4900,14.584812,71465.5788,4900,13.958969,68398.9481,0,0,-3066.6307,0
ICICIBANK23Feb2023PE850.00,NSE-F&O,9800,20.381779,199741.4342,9800,15.536057,152253.3586,0,0,-47488.0756,0
ICICIBANK26May2022CE720.00,NSE-F&O,9625,6.317001,60801.13463,9625,5.980376,57561.119,0,0,-3240.015625,0
ICICIBANK26May2022PE700.00,NSE-F&O,11000,7.968275,87651.025,11000,5.930624,65236.864,0,0,-22414.161,0
ICICIBANK28Jul2022PE770.00,NSE-F&O,8250,1.513848,12489.246,8250,2.48432,20495.64,0,0,8006.394,2401.92
ICICIBANK28Jul2022PE790.00,NSE-F&O,8250,10.519759,86788.01175,8250,2.48432,20495.64,0,0,-66292.37175,0
ICICIBANK30Jun2022PE670.00,NSE-F&O,11000,1.51385,16652.35,11000,8.652363,95175.993,0,0,78523.643,23557.09
ICICIBANK30Jun2022PE700.00,NSE-F&O,5500,21.577013,118673.5715,5500,1.635278,8994.029,0,0,-109679.5425,0
ICICIPRULI29Dec2022CE480.00,NSE-F&O,9000,12.569783,113128.047,9000,13.522677,121704.093,0,0,8576.046,2572.81
IDFCFIRSTB29Dec2022CE60.00,NSE-F&O,75000,1.852395,138929.625,75000,1.946623,145996.725,0,0,7067.1,2120.13
IEX25Jan2023,NSE-F&O,15000,143.746985,2156204.775,15000,143.963601,2159454.015,0,0,3249.24,974.77
INDIACEM29Sep2022PE250.00,NSE-F&O,11600,3.008099,34893.9484,11600,4.888347,56704.8252,0,0,21810.8768,6543.26
INDIACEM29Sep2022PE270.00,NSE-F&O,11600,12.864567,149228.9772,11600,10.831644,125647.0704,0,0,-23581.9068,0
INDUSINDBK25Jan2023CE1260.00,NSE-F&O,4500,24.154556,108695.502,4500,25.880898,116464.041,0,0,7768.539,2330.56
INDUSINDBK29Dec2022CE1200.00,NSE-F&O,3150,28.057692,88381.7298,3150,35.420711,111575.2397,0,0,23193.50985,6958.05
INFY25Jan2023CE1480.00,NSE-F&O,4000,36.817738,147270.952,4000,37.912298,151649.192,0,0,4378.24,1313.47
INFY25Jan2023PE1460.00,NSE-F&O,3200,34.166634,109333.2288,3200,30.920825,98946.64,0,0,-10386.5888,0
INFY29Dec2022CE1520.00,NSE-F&O,3000,1.20975,3629.25,3000,18.56999,55709.97,0,0,52080.72,15624.22
