entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
29-10-2020 15:15,05-11-2020 15:15,24114.45,24200,24000,BANKNIFTY20110524200CE,BANKNIFTY20110524000PE,2020,520.1,525.3,05-11-2020 15:15,05-11-2020 15:15,26323.7,24200,24000,BANKNIFTY20110524200CE,BANKNIFTY20110524000PE,2020,,0.05
05-11-2020 15:15,12-11-2020 15:15,26323.7,26400,26200,BANKNIFTY20111226400CE,BANKNIFTY20111226200PE,2020,415,449.9,12-11-2020 15:15,12-11-2020 15:15,28311.05,26400,26200,BANKNIFTY20111226400CE,BANKNIFTY20111226200PE,2020,1889.2,0.05
12-11-2020 15:15,19-11-2020 15:15,28311.05,28400,28200,BANKNIFTY20111928400CE,BANKNIFTY20111928200PE,2020,472.75,433.55,19-11-2020 15:15,19-11-2020 15:15,28894.85,28400,28200,BANKNIFTY20111928400CE,BANKNIFTY20111928200PE,2020,504.35,0.15
19-11-2020 15:15,26-11-2020 15:15,28894.85,29000,28800,BANKNIFTY20112629000CE,BANKNIFTY20112628800PE,2020,439.85,440,26-11-2020 15:15,26-11-2020 15:15,29568.7,29000,28800,BANKNIFTY20112629000CE,BANKNIFTY20112628800PE,2020,555.25,0.25
26-11-2020 15:15,03-12-2020 15:15,29568.7,29700,29500,BANKNIFTY20120329700CE,BANKNIFTY20120329500PE,2020,434.6,432.5,03-12-2020 15:15,03-12-2020 15:15,29441.4,29700,29500,BANKNIFTY20120329700CE,BANKNIFTY20120329500PE,2020,0.3,55.35
03-12-2020 15:15,10-12-2020 15:15,29441.4,29500,29300,BANKNIFTY20121029500CE,BANKNIFTY20121029300PE,2020,427.05,348.2,10-12-2020 15:15,10-12-2020 15:15,30509.5,29500,29300,BANKNIFTY20121029500CE,BANKNIFTY20121029300PE,2020,1004.55,0.3
10-12-2020 15:15,17-12-2020 15:15,30509.5,30600,30400,BANKNIFTY20121730600CE,BANKNIFTY20121730400PE,2020,414.95,334.85,17-12-2020 15:15,17-12-2020 15:15,30849.5,30600,30400,BANKNIFTY20121730600CE,BANKNIFTY20121730400PE,2020,250,0.3
17-12-2020 15:15,24-12-2020 15:15,30849.5,30900,30700,BANKNIFTY20122430900CE,BANKNIFTY20122430700PE,2020,357.55,315.5,24-12-2020 15:15,24-12-2020 15:15,30378.55,30900,30700,BANKNIFTY20122430900CE,BANKNIFTY20122430700PE,2020,0.15,302.15
24-12-2020 15:15,31-12-2020 15:15,30378.55,30500,30300,BANKNIFTY20123130500CE,BANKNIFTY20123130300PE,2020,299.4,272.15,31-12-2020 15:15,31-12-2020 15:15,31250.35,30500,30300,BANKNIFTY20123130500CE,BANKNIFTY20123130300PE,2020,772.85,0.15
31-12-2020 15:15,07-01-2021 15:15,31250.35,31400,31200,BANKNIFTY21010731400CE,BANKNIFTY21010731200PE,2020,377.45,407.5,07-01-2021 15:15,07-01-2021 15:15,31948.3,31400,31200,BANKNIFTY21010731400CE,BANKNIFTY21010731200PE,2020,,
07-01-2021 15:15,14-01-2021 15:15,31948.3,32000,31800,BANKNIFTY21011432000CE,BANKNIFTY21011431800PE,2021,400,287.25,14-01-2021 15:15,14-01-2021 15:15,32497.4,32000,31800,BANKNIFTY21011432000CE,BANKNIFTY21011431800PE,2021,502.35,0.15
14-01-2021 15:15,21-01-2021 15:15,32497.4,32600,32400,BANKNIFTY21012132600CE,BANKNIFTY21012132400PE,2021,419.75,351.8,21-01-2021 15:15,21-01-2021 15:15,32139.5,32600,32400,BANKNIFTY21012132600CE,BANKNIFTY21012132400PE,2021,0.7,238
21-01-2021 15:15,28-01-2021 15:15,32139.5,32200,32000,BANKNIFTY21012832200CE,BANKNIFTY21012832000PE,2021,390,315.05,28-01-2021 15:15,28-01-2021 15:15,30417.1,32200,32000,BANKNIFTY21012832200CE,BANKNIFTY21012832000PE,2021,0.2,1616.65
28-01-2021 15:15,04-02-2021 15:15,30417.1,30500,30300,BANKNIFTY21020430500CE,BANKNIFTY21020430300PE,2021,562.3,568.2,04-02-2021 15:15,04-02-2021 15:15,35304.75,30500,30300,BANKNIFTY21020430500CE,BANKNIFTY21020430300PE,2021,4800.2,0.2
04-02-2021 15:15,11-02-2021 15:15,35304.75,35400,35200,BANKNIFTY21021135400CE,BANKNIFTY21021135200PE,2021,500,574.5,11-02-2021 15:15,11-02-2021 15:15,35759,35400,35200,BANKNIFTY21021135400CE,BANKNIFTY21021135200PE,2021,351,0.3
11-02-2021 15:15,18-02-2021 15:15,35759,35900,35700,BANKNIFTY21021835900CE,BANKNIFTY21021835700PE,2021,474.2,480,18-02-2021 15:15,18-02-2021 15:15,36611.9,35900,35700,BANKNIFTY21021835900CE,BANKNIFTY21021835700PE,2021,698.9,0.15
18-02-2021 15:15,25-02-2021 15:15,36611.9,36700,36500,BANKNIFTY21022536700CE,BANKNIFTY21022536500PE,2021,474,453.5,25-02-2021 15:15,25-02-2021 15:15,36565.2,36700,36500,BANKNIFTY21022536700CE,BANKNIFTY21022536500PE,2021,0.55,2.75
25-02-2021 15:15,04-03-2021 15:15,36565.2,36700,36500,BANKNIFTY21030436700CE,BANKNIFTY21030436500PE,2021,594.75,498.45,04-03-2021 15:15,04-03-2021 15:15,35809.4,36700,36500,BANKNIFTY21030436700CE,BANKNIFTY21030436500PE,2021,0.25,702
04-03-2021 15:15,10-03-2021 15:15,35809.4,35900,35700,BANKNIFTY21031035900CE,BANKNIFTY21031035700PE,2021,591.85,570.85,10-03-2021 15:15,10-03-2021 15:15,35935.8,35900,35700,BANKNIFTY21031035900CE,BANKNIFTY21031035700PE,2021,37,0.4
