,Date,portfolio_values
87,2018-08-01,122087540
88,2018-08-02,120676486
89,2018-08-03,122136969
90,2018-08-06,122122220
91,2018-08-07,122059921
92,2018-08-08,122703319
93,2018-08-09,122898589
94,2018-08-10,122569681
95,2018-08-13,121759842
96,2018-08-14,122427021
97,2018-08-16,121748032
98,2018-08-17,122897108
99,2018-08-20,123278431
100,2018-08-21,123142031
101,2018-08-23,123425942
102,2018-08-24,123334756
103,2018-08-27,124765245
104,2018-08-28,125507460
105,2018-08-29,125102077
106,2018-08-30,124895287
107,2018-08-31,124755573
108,2018-09-03,123090209
109,2018-09-04,122798022
110,2018-09-05,121810700
111,2018-09-06,122318502
112,2018-09-07,122295946
113,2018-09-10,120782105
114,2018-09-11,119175094
115,2018-09-12,120562733
116,2018-09-14,121402704
117,2018-09-17,119769973
118,2018-09-18,119116099
119,2018-09-19,118341877
120,2018-09-21,117735470
121,2018-09-24,116596386
122,2018-09-25,118320556
123,2018-09-26,117102996
124,2018-09-27,116961636
125,2018-09-28,117218256
126,2018-10-01,118677985
127,2018-10-03,116506369
128,2018-10-04,113032649
129,2018-10-05,110818648
130,2018-10-08,111466815
131,2018-10-09,110798565
132,2018-10-10,111976930
133,2018-10-11,109226344
134,2018-10-12,111574115
135,2018-10-15,112308875
136,2018-10-16,113113248
137,2018-10-17,112321036
138,2018-10-19,111095464
139,2018-10-22,110385407
140,2018-10-23,109102275
141,2018-10-24,109587215
142,2018-10-25,108907368
143,2018-10-26,107723095
144,2018-10-29,109470323
145,2018-10-30,109417471
146,2018-10-31,111245619
147,2018-11-01,110762690
148,2018-11-02,112437948
149,2018-11-05,112644294
150,2018-11-06,112478008
151,2018-11-07,113249947
152,2018-11-09,112630892
153,2018-11-12,111822623
154,2018-11-13,112848789
155,2018-11-14,112911488
156,2018-11-15,113430600
157,2018-11-16,114203880
158,2018-11-19,115142782
159,2018-11-20,114099339
160,2018-11-21,113131526
161,2018-11-22,112600125
162,2018-11-26,114268232
163,2018-11-27,115418613
164,2018-11-28,116618578
165,2018-11-29,117951276
166,2018-11-30,118359551
167,2018-12-03,118836874
168,2018-12-04,118458915
169,2018-12-05,118280557
170,2018-12-06,116106148
171,2018-12-07,117856060
172,2018-12-10,115486097
173,2018-12-11,116261259
174,2018-12-12,117847953
175,2018-12-13,118741275
176,2018-12-14,118734424
177,2018-12-17,119116907
178,2018-12-18,118977079
179,2018-12-19,119371147
180,2018-12-20,118824665
181,2018-12-21,116475842
182,2018-12-24,116114881
183,2018-12-26,116578001
184,2018-12-27,117295999
185,2018-12-28,117772154
186,2018-12-31,117767864
187,2019-01-01,118313692
188,2019-01-02,117332526
189,2019-01-03,116404313
190,2019-01-04,116840448
191,2019-01-07,117402284
192,2019-01-08,117445939
193,2019-01-09,118353406
194,2019-01-10,117958543
195,2019-01-11,117615670
196,2019-01-14,117361426
197,2019-01-15,119094311
198,2019-01-16,118937683
199,2019-01-17,119087354
200,2019-01-18,119624226
201,2019-01-21,120574178
202,2019-01-22,120300373
203,2019-01-23,118802213
204,2019-01-24,119333305
205,2019-01-25,118692244
206,2019-01-28,117979432
207,2019-01-29,117826730
208,2019-01-30,117011355
209,2019-01-31,119502246
210,2019-02-01,120641643
211,2019-02-04,121449366
212,2019-02-05,121703033
213,2019-02-06,122855437
214,2019-02-07,122861565
215,2019-02-08,121934006
216,2019-02-11,121651463
217,2019-02-12,120671001
218,2019-02-14,119357807
219,2019-02-15,119021515
220,2019-02-18,117589333
221,2019-02-19,116673110
222,2019-02-20,117769896
223,2019-02-21,118013712
224,2019-02-22,117635084
225,2019-02-25,118759189
226,2019-02-26,118220975
227,2019-02-27,117744057
228,2019-02-28,117079991
229,2019-03-01,117878279
230,2019-03-05,118503479
231,2019-03-06,118962255
232,2019-03-07,119331159
233,2019-03-08,119171299
234,2019-03-11,120211078
235,2019-03-12,121246302
236,2019-03-13,122047901
237,2019-03-14,121876144
238,2019-03-15,122787292
239,2019-03-18,122898659
240,2019-03-19,123858121
241,2019-03-20,124147151
242,2019-03-22,123000481
243,2019-03-25,121719851
244,2019-03-26,123014433
245,2019-03-27,122533056
246,2019-03-28,122533056
247,2019-04-01,123436458
248,2019-04-02,124131648
249,2019-04-03,123277177
250,2019-04-04,122484706
251,2019-04-05,123039464
252,2019-04-08,122740249
253,2019-04-09,123506534
254,2019-04-10,122390025
255,2019-04-11,122455304
256,2019-04-12,123148672
257,2019-04-15,123676268
258,2019-04-16,124676373
259,2019-04-18,124318712
260,2019-04-22,123085704
261,2019-04-23,123047895
262,2019-04-24,124703151
263,2019-04-25,123607775
264,2019-04-26,125335898
265,2019-04-30,125919151
266,2019-05-02,125404607
267,2019-05-03,124921677
268,2019-05-06,124111658
269,2019-05-07,123177290
270,2019-05-08,121817611
271,2019-05-09,121330406
272,2019-05-10,121485854
273,2019-05-13,120768963
274,2019-05-14,121331363
275,2019-05-15,121048973
276,2019-05-16,122095039
277,2019-05-17,123885999
278,2019-05-20,128276628
279,2019-05-21,127180292
280,2019-05-22,127408305
281,2019-05-23,126155604
282,2019-05-24,127873108
283,2019-05-27,128812532
284,2019-05-28,128995060
285,2019-05-29,128349486
286,2019-05-30,129706772
287,2019-05-31,129374418
288,2019-06-03,131054751
289,2019-06-04,130122787
290,2019-06-06,128427456
291,2019-06-07,129030187
292,2019-06-10,129787415
293,2019-06-11,130290550
294,2019-06-12,129800496
295,2019-06-13,130243060
296,2019-06-14,129290496
297,2019-06-17,128168021
298,2019-06-18,128460975
299,2019-06-19,129026931
300,2019-06-20,130467672
301,2019-06-21,129053054
302,2019-06-24,129045673
303,2019-06-25,129965192
304,2019-06-26,130159459
305,2019-06-27,130043377
306,2019-06-28,129519015
307,2019-07-01,130386894
308,2019-07-02,130947239
309,2019-07-03,130850349
310,2019-07-04,131293103
311,2019-07-05,130645680
312,2019-07-08,128504542
313,2019-07-09,127976628
314,2019-07-10,127691151
315,2019-07-11,128555903
316,2019-07-12,128440659
317,2019-07-15,129373057
318,2019-07-16,129855864
319,2019-07-17,130869929
320,2019-07-18,130151892
321,2019-07-19,128391979
322,2019-07-22,126817303
323,2019-07-23,126803498
324,2019-07-24,126989522
325,2019-07-25,127073375
326,2019-07-26,126999351
327,2019-07-29,127035646
328,2019-07-30,126307944
329,2019-07-31,126768008
330,2019-08-01,124856830
331,2019-08-02,124919528
332,2019-08-05,123660662
333,2019-08-06,124062934
334,2019-08-07,123232636
335,2019-08-08,125377715
336,2019-08-09,126323601
337,2019-08-13,124335849
338,2019-08-14,125309617
339,2019-08-16,125107625
340,2019-08-19,125097408
341,2019-08-20,124982343
342,2019-08-21,124379252
343,2019-08-22,122780014
344,2019-08-23,123135350
345,2019-08-26,126033261
346,2019-08-27,126080655
347,2019-08-28,125715649
348,2019-08-29,123949230
349,2019-08-30,125058107
350,2019-09-03,122666473
351,2019-09-04,123600503
352,2019-09-05,122618914
353,2019-09-06,123160486
354,2019-09-09,123776155
355,2019-09-11,123757974
356,2019-09-12,123419487
357,2019-09-13,124479128
358,2019-09-16,123724382
359,2019-09-17,122002797
360,2019-09-18,122403763
361,2019-09-19,120797356
362,2019-09-20,126532289
363,2019-09-23,130233772
364,2019-09-24,130355249
365,2019-09-25,128515278
366,2019-09-26,129314352
367,2019-09-27,129045014
368,2019-09-30,128568743
369,2019-10-01,127302639
370,2019-10-03,126569778
371,2019-10-04,125085976
372,2019-10-07,124468160
373,2019-10-09,126447940
374,2019-10-10,125376127
375,2019-10-11,126319005
376,2019-10-14,126285280
377,2019-10-15,127328926
378,2019-10-16,127524061
379,2019-10-17,128963017
380,2019-10-18,129630528
381,2019-10-22,128652554
382,2019-10-23,129423651
383,2019-10-24,128993982
384,2019-10-25,129878199
385,2019-10-27,130298228
386,2019-10-29,131533746
387,2019-10-30,132724788
388,2019-10-31,133637647
389,2019-11-01,133509128
390,2019-11-04,134160904
391,2019-11-05,134081077
392,2019-11-06,135061474
393,2019-11-07,135620039
394,2019-11-08,134541229
395,2019-11-11,134623705
396,2019-11-13,133998510
397,2019-11-14,134697775
398,2019-11-15,135289973
399,2019-11-18,135087764
400,2019-11-19,135179060
401,2019-11-20,135205036
402,2019-11-21,135460552
403,2019-11-22,134444687
404,2019-11-25,136024659
405,2019-11-26,136179428
406,2019-11-27,137080242
