,Date,portfolio_values
204,2019-01-24,119000561
205,2019-01-25,118739042
206,2019-01-28,118973847
207,2019-01-29,119687676
208,2019-01-30,120143164
209,2019-01-31,121680744
210,2019-02-01,123403531
211,2019-02-04,122268474
212,2019-02-05,122300042
213,2019-02-06,123903944
214,2019-02-07,123989356
215,2019-02-08,122433212
216,2019-02-11,120394509
217,2019-02-12,120201941
218,2019-02-14,119239146
219,2019-02-15,118419512
220,2019-02-18,117284079
221,2019-02-19,115913413
222,2019-02-20,117253494
223,2019-02-21,117861916
224,2019-02-22,118626796
225,2019-02-25,120251456
226,2019-02-26,120094451
227,2019-02-27,119442038
228,2019-02-28,118838093
229,2019-03-01,119498860
230,2019-03-05,119378544
231,2019-03-06,119801284
232,2019-03-07,118826863
233,2019-03-08,117349139
234,2019-03-11,118813502
235,2019-03-12,118979821
236,2019-03-13,118050783
237,2019-03-14,117956285
238,2019-03-15,119056747
239,2019-03-18,118376149
240,2019-03-19,119559541
241,2019-03-20,119824610
242,2019-03-22,119684902
243,2019-03-25,119303422
244,2019-03-26,119515681
245,2019-03-27,119180995
246,2019-03-28,119180995
247,2019-04-01,121008706
248,2019-04-02,121274728
249,2019-04-03,121274147
250,2019-04-04,120264053
251,2019-04-05,120728930
252,2019-04-08,121231502
253,2019-04-09,122212609
254,2019-04-10,121880367
255,2019-04-11,122297035
256,2019-04-12,122975923
257,2019-04-15,124021399
258,2019-04-16,124141723
259,2019-04-18,123732730
260,2019-04-22,123495923
261,2019-04-23,123530550
262,2019-04-24,124393228
263,2019-04-25,124503017
264,2019-04-26,125172258
265,2019-04-30,126046776
266,2019-05-02,125345554
267,2019-05-03,124724710
268,2019-05-06,124308201
269,2019-05-07,124341433
270,2019-05-08,123539908
271,2019-05-09,123179065
272,2019-05-10,122047684
273,2019-05-13,120755449
274,2019-05-14,119628547
275,2019-05-15,119165294
276,2019-05-16,119486735
277,2019-05-17,119588304
278,2019-05-20,121460594
279,2019-05-21,121084223
280,2019-05-22,120646202
281,2019-05-23,120815462
282,2019-05-24,121472364
283,2019-05-27,122679296
284,2019-05-28,123578460
285,2019-05-29,123541604
286,2019-05-30,124727239
287,2019-05-31,125709630
288,2019-06-03,128465750
289,2019-06-04,127646074
290,2019-06-06,128031794
291,2019-06-07,128287948
292,2019-06-10,128893659
293,2019-06-11,128909993
294,2019-06-12,128550436
295,2019-06-13,128778295
296,2019-06-14,128151312
297,2019-06-17,127700468
298,2019-06-18,128395131
299,2019-06-19,128003823
300,2019-06-20,128453267
301,2019-06-21,127261889
302,2019-06-24,127446266
303,2019-06-25,127124784
304,2019-06-26,128420966
305,2019-06-27,128441888
306,2019-06-28,128702918
307,2019-07-01,129351842
308,2019-07-02,129974573
309,2019-07-03,129782772
310,2019-07-04,130077952
311,2019-07-05,127010318
312,2019-07-08,125471418
313,2019-07-09,125018846
314,2019-07-10,124560699
315,2019-07-11,125680035
316,2019-07-12,126140644
317,2019-07-15,127583839
318,2019-07-16,128171608
319,2019-07-17,128250663
320,2019-07-18,127093657
321,2019-07-19,126392092
322,2019-07-22,126669584
323,2019-07-23,127678491
324,2019-07-24,127117096
325,2019-07-25,127668711
