,Date,portfolio_values
155,2018-11-14,112785896
156,2018-11-15,113934247
157,2018-11-16,114949480
158,2018-11-19,114947602
159,2018-11-20,112957265
160,2018-11-21,111674163
161,2018-11-22,111109811
162,2018-11-26,112724297
163,2018-11-27,113000599
164,2018-11-28,114094280
165,2018-11-29,113669922
166,2018-11-30,114881435
167,2018-12-03,115956403
168,2018-12-04,116132546
169,2018-12-05,115294484
170,2018-12-06,112872494
171,2018-12-07,112649379
172,2018-12-10,110735150
173,2018-12-11,112489893
174,2018-12-12,113825204
175,2018-12-13,114440264
176,2018-12-14,114795133
177,2018-12-17,115736227
178,2018-12-18,115846489
179,2018-12-19,116368628
180,2018-12-20,116623168
181,2018-12-21,114881607
182,2018-12-24,114252739
183,2018-12-26,113779425
184,2018-12-27,114623611
185,2018-12-28,115152490
186,2018-12-31,115454728
187,2019-01-01,115298904
188,2019-01-02,114668806
189,2019-01-03,114182523
190,2019-01-04,113750565
191,2019-01-07,113944699
192,2019-01-08,114234792
193,2019-01-09,114723678
194,2019-01-10,114836972
195,2019-01-11,114613087
196,2019-01-14,113373920
197,2019-01-15,115456858
198,2019-01-16,115401269
199,2019-01-17,116182646
200,2019-01-18,116935593
201,2019-01-21,116489341
202,2019-01-22,115888638
203,2019-01-23,115758384
204,2019-01-24,116486843
205,2019-01-25,116183553
206,2019-01-28,116742012
207,2019-01-29,117395394
208,2019-01-30,117983326
209,2019-01-31,119129090
210,2019-02-01,120715808
211,2019-02-04,119648922
212,2019-02-05,119283623
213,2019-02-06,121210742
214,2019-02-07,121143437
215,2019-02-08,119587213
216,2019-02-11,117861910
217,2019-02-12,117672562
218,2019-02-14,116633283
219,2019-02-15,116123912
220,2019-02-18,114766916
221,2019-02-19,113565597
222,2019-02-20,114934308
223,2019-02-21,115496341
224,2019-02-22,116126628
225,2019-02-25,117580931
226,2019-02-26,117710504
227,2019-02-27,117063265
228,2019-02-28,116430381
229,2019-03-01,117015466
230,2019-03-05,117001613
231,2019-03-06,117315306
232,2019-03-07,116382032
233,2019-03-08,115122262
234,2019-03-11,116845078
235,2019-03-12,116923278
236,2019-03-13,115835124
237,2019-03-14,115762453
238,2019-03-15,116844506
239,2019-03-18,116127311
240,2019-03-19,117137105
241,2019-03-20,116942619
242,2019-03-22,116701553
243,2019-03-25,116240755
244,2019-03-26,116624390
245,2019-03-27,116272145
246,2019-03-28,116272145
247,2019-04-01,118425419
248,2019-04-02,118752254
249,2019-04-03,118894446
250,2019-04-04,117668459
251,2019-04-05,118336942
252,2019-04-08,118821019
253,2019-04-09,119831920
254,2019-04-10,119460055
255,2019-04-11,119720017
256,2019-04-12,120437119
257,2019-04-15,121589786
258,2019-04-16,121548197
259,2019-04-18,121248497
260,2019-04-22,120915936
261,2019-04-23,121127722
262,2019-04-24,122053971
263,2019-04-25,122399488
264,2019-04-26,122989392
265,2019-04-30,123946017
266,2019-05-02,123442260
267,2019-05-03,122721296
268,2019-05-06,122442438
269,2019-05-07,122360947
270,2019-05-08,121766008
271,2019-05-09,121505166
272,2019-05-10,120353149
273,2019-05-13,119035345
274,2019-05-14,117564650
275,2019-05-15,117353182
276,2019-05-16,117456903
277,2019-05-17,117261645
278,2019-05-20,118885858
279,2019-05-21,118412869
280,2019-05-22,117931461
281,2019-05-23,118207979
282,2019-05-24,119066323
283,2019-05-27,119978080
284,2019-05-28,121047950
285,2019-05-29,121123136
286,2019-05-30,122127959
287,2019-05-31,123407165
288,2019-06-03,126293102
289,2019-06-04,125332886
290,2019-06-06,125503032
291,2019-06-07,125971162
292,2019-06-10,126542939
293,2019-06-11,126624060
294,2019-06-12,126229802
295,2019-06-13,126464782
296,2019-06-14,126070622
297,2019-06-17,125619476
298,2019-06-18,126478225
299,2019-06-19,125812898
300,2019-06-20,126303469
301,2019-06-21,125175776
302,2019-06-24,125316994
303,2019-06-25,124752162
304,2019-06-26,126100932
305,2019-06-27,126023665
306,2019-06-28,126134667
307,2019-07-01,126843057
308,2019-07-02,127475241
309,2019-07-03,127256298
310,2019-07-04,127522841
311,2019-07-05,124542106
312,2019-07-08,123594733
313,2019-07-09,123161685
314,2019-07-10,122818726
315,2019-07-11,124052165
316,2019-07-12,124813005
317,2019-07-15,126463640
318,2019-07-16,126725444
319,2019-07-17,126841526
320,2019-07-18,125812469
321,2019-07-19,124877435
322,2019-07-22,125397037
323,2019-07-23,126301760
324,2019-07-24,125501807
325,2019-07-25,126271819
326,2019-07-26,126283026
327,2019-07-29,125520331
328,2019-07-30,124852979
329,2019-07-31,126237850
330,2019-08-01,125271197
331,2019-08-02,124553524
332,2019-08-05,123977167
333,2019-08-06,125063970
334,2019-08-07,125251403
335,2019-08-08,127985048
336,2019-08-09,127713736
337,2019-08-13,125232863
338,2019-08-14,126048004
339,2019-08-16,128172776
340,2019-08-19,128103519
341,2019-08-20,128803838
342,2019-08-21,127642718
343,2019-08-22,127013200
344,2019-08-23,127282670
345,2019-08-26,128242943
346,2019-08-27,129206122
347,2019-08-28,129401699
348,2019-08-29,129465392
349,2019-08-30,129929054
350,2019-09-03,128126656
351,2019-09-04,129132835
352,2019-09-05,129975402
353,2019-09-06,130515150
354,2019-09-09,129712625
355,2019-09-11,128717055
356,2019-09-12,127864555
357,2019-09-13,128529510
358,2019-09-16,128364133
359,2019-09-17,127393343
360,2019-09-18,127898602
361,2019-09-19,126828441
362,2019-09-20,128858869
363,2019-09-23,125624745
364,2019-09-24,126684118
365,2019-09-25,127056654
366,2019-09-26,128032377
367,2019-09-27,127940553
368,2019-09-30,129712859
369,2019-10-01,127577464
370,2019-10-03,127473229
371,2019-10-04,127190713
372,2019-10-07,126672979
373,2019-10-09,126995022
374,2019-10-10,126794785
375,2019-10-11,128597159
376,2019-10-14,128068201
377,2019-10-15,129045710
378,2019-10-16,130942700
379,2019-10-17,131892943
380,2019-10-18,133127998
381,2019-10-22,133150492
382,2019-10-23,133791712
383,2019-10-24,133497032
384,2019-10-25,133851069
385,2019-10-27,134361213
386,2019-10-29,134504924
387,2019-10-30,135357395
388,2019-10-31,136211480
389,2019-11-01,134936436
390,2019-11-04,134575109
391,2019-11-05,133607427
392,2019-11-06,133865976
393,2019-11-07,134765583
394,2019-11-08,132674433
395,2019-11-11,132273999
396,2019-11-13,132403309
397,2019-11-14,132818665
398,2019-11-15,132062268
399,2019-11-18,131753613
400,2019-11-19,130741050
401,2019-11-20,131563905
402,2019-11-21,132072551
403,2019-11-22,131376697
404,2019-11-25,132420616
405,2019-11-26,131672825
406,2019-11-27,131818569
407,2019-11-28,132382874
408,2019-11-29,131139011
409,2019-12-02,130018528
410,2019-12-03,130745051
411,2019-12-04,132005571
412,2019-12-05,131758169
413,2019-12-06,131214981
414,2019-12-09,129783069
415,2019-12-10,128323177
416,2019-12-11,129114131
417,2019-12-12,129053124
418,2019-12-13,129988349
419,2019-12-16,130572717
420,2019-12-17,131637463
421,2019-12-18,132484093
422,2019-12-19,133189704
423,2019-12-20,133937977
424,2019-12-23,134435544
425,2019-12-24,134250091
426,2019-12-26,133949117
427,2019-12-27,134982600
428,2019-12-30,134999795
429,2019-12-31,134514036
430,2020-01-01,135156308
431,2020-01-02,135936463
432,2020-01-03,136662575
433,2020-01-06,135777435
434,2020-01-07,136277886
435,2020-01-08,136116175
436,2020-01-09,136144109
437,2020-01-10,136401710
438,2020-01-13,137736175
439,2020-01-14,137922995
440,2020-01-15,137775458
441,2020-01-16,138522937
442,2020-01-17,139131238
443,2020-01-20,138240828
444,2020-01-21,137725538
445,2020-01-22,138208416
446,2020-01-23,139336223
447,2020-01-24,139133540
448,2020-01-27,139100161
449,2020-01-28,138571452
450,2020-01-29,139424299
451,2020-01-30,138575015
452,2020-01-31,136259632
453,2020-02-03,133777863
454,2020-02-04,135440561
455,2020-02-05,135153499
456,2020-02-06,135703169
457,2020-02-07,136942052
458,2020-02-10,136110211
459,2020-02-11,136512301
460,2020-02-12,136584378
461,2020-02-13,137312027
462,2020-02-14,136444775
463,2020-02-17,135920628
464,2020-02-18,136610675
465,2020-02-19,138219956
466,2020-02-20,137818157
467,2020-02-24,135793518
468,2020-02-25,135373882
469,2020-02-26,133817387
470,2020-02-27,133880091
471,2020-02-28,128431821
472,2020-03-02,129291738
473,2020-03-03,131943630
474,2020-03-04,133647249
475,2020-03-05,133698327
476,2020-03-06,130616713
477,2020-03-09,124661096
478,2020-03-11,123815850
479,2020-03-12,114460113
480,2020-03-13,116329677
481,2020-03-16,109969499
482,2020-03-17,107534224
483,2020-03-18,100482698
484,2020-03-19,98438057
485,2020-03-20,106143089
486,2020-03-23,96133713
487,2020-03-24,99871630
488,2020-03-25,103369391
489,2020-03-26,107154031
490,2020-03-27,105691158
491,2020-03-30,103701560
492,2020-03-31,103701560
493,2020-04-01,100618326
494,2020-04-03,100330055
495,2020-04-07,108886156
496,2020-04-08,109700559
497,2020-04-09,114191386
498,2020-04-13,114133508
499,2020-04-15,115003491
500,2020-04-16,115520940
501,2020-04-17,115986080
502,2020-04-20,114850144
503,2020-04-21,114129878
504,2020-04-22,115179882
505,2020-04-23,116216239
506,2020-04-24,115595974
507,2020-04-27,117206791
508,2020-04-28,115435706
509,2020-04-29,116503760
510,2020-04-30,120539125
511,2020-05-04,117753134
512,2020-05-05,116732894
513,2020-05-06,116638748
514,2020-05-07,115070624
515,2020-05-08,116167741
516,2020-05-11,116795300
517,2020-05-12,116934868
518,2020-05-13,117240188
519,2020-05-14,115855114
520,2020-05-15,115371264
521,2020-05-18,114086369
522,2020-05-19,114764590
523,2020-05-20,116966140
524,2020-05-21,117743578
525,2020-05-22,117669497
526,2020-05-26,117148837
527,2020-05-27,118859526
528,2020-05-28,119415142
529,2020-05-29,123253873
530,2020-06-01,124589152
531,2020-06-02,124087359
532,2020-06-03,124129850
533,2020-06-04,126066791
534,2020-06-05,126143323
535,2020-06-08,126070336
536,2020-06-09,125675146
537,2020-06-10,125154231
538,2020-06-11,124044468
539,2020-06-12,123417202
540,2020-06-15,122846816
541,2020-06-16,122471603
542,2020-06-17,121961592
543,2020-06-18,123088583
544,2020-06-19,123218478
545,2020-06-22,125622611
546,2020-06-23,127446257
547,2020-06-24,124863876
548,2020-06-25,124439917
549,2020-06-26,126067524
550,2020-06-29,124834798
551,2020-06-30,124137335
552,2020-07-01,123233997
553,2020-07-02,124831270
554,2020-07-03,125627432
555,2020-07-06,125469399
556,2020-07-07,125158982
557,2020-07-08,124151716
558,2020-07-09,124580728
559,2020-07-10,124972636
560,2020-07-13,125777099
561,2020-07-14,124558373
562,2020-07-15,128049436
563,2020-07-16,129658855
564,2020-07-17,130380406
565,2020-07-20,131498065
566,2020-07-21,131833066
567,2020-07-22,131564905
568,2020-07-23,133166653
569,2020-07-24,132980801
570,2020-07-27,133302383
571,2020-07-28,135204707
572,2020-07-29,136011027
573,2020-07-30,137167899
574,2020-07-31,138297135
575,2020-08-03,137611117
576,2020-08-04,138251626
577,2020-08-05,138006122
578,2020-08-06,139329414
579,2020-08-07,139134334
580,2020-08-10,142802993
581,2020-08-11,142109461
582,2020-08-12,141868869
583,2020-08-13,142014400
584,2020-08-14,141466471
585,2020-08-17,143472763
586,2020-08-18,143468030
587,2020-08-19,142403873
588,2020-08-20,142612500
589,2020-08-21,143641321
590,2020-08-24,142930934
591,2020-08-25,142178078
592,2020-08-26,142851752
593,2020-08-27,142993903
594,2020-08-28,142004491
595,2020-08-31,138870302
596,2020-09-01,140272876
597,2020-09-02,141351998
598,2020-09-03,142285987
599,2020-09-04,140057088
600,2020-09-07,140841953
601,2020-09-08,140280912
602,2020-09-09,141025478
603,2020-09-10,141187075
604,2020-09-11,141543955
605,2020-09-14,144410598
606,2020-09-15,145168297
607,2020-09-16,147092508
608,2020-09-17,147395361
609,2020-09-18,151702966
610,2020-09-21,147820829
611,2020-09-22,148912661
612,2020-09-23,147544491
613,2020-09-24,142809783
614,2020-09-25,146778636
615,2020-09-28,147965179
616,2020-09-29,146223363
617,2020-09-30,146831478
618,2020-10-01,147631928
619,2020-10-05,150480212
620,2020-10-06,150502589
621,2020-10-07,150984211
622,2020-10-08,154705295
623,2020-10-09,154838502
624,2020-10-12,155653053
625,2020-10-13,155204670
626,2020-10-14,152887166
627,2020-10-15,150385555
628,2020-10-16,150880678
629,2020-10-19,150388625
630,2020-10-20,151557168
631,2020-10-21,151236856
632,2020-10-22,151006893
633,2020-10-23,151356371
634,2020-10-26,149774554
635,2020-10-27,151639876
636,2020-10-28,150279444
637,2020-10-29,150068379
638,2020-10-30,150479577
639,2020-11-02,148682681
640,2020-11-03,149908132
641,2020-11-04,151525972
642,2020-11-05,153722584
643,2020-11-06,154022345
644,2020-11-09,155521563
645,2020-11-10,150769224
646,2020-11-11,153832808
647,2020-11-12,153160607
648,2020-11-13,154079442
649,2020-11-14,154469396
650,2020-11-17,153926817
651,2020-11-18,153139941
652,2020-11-19,153143903
653,2020-11-20,154381813
654,2020-11-23,157423870
655,2020-11-24,157762794
656,2020-11-25,155623211
657,2020-11-26,158073887
658,2020-11-27,157386842
659,2020-12-01,158518564
660,2020-12-02,160186780
661,2020-12-03,161266423
662,2020-12-04,161832712
663,2020-12-07,162362380
664,2020-12-08,162498399
665,2020-12-09,162792375
666,2020-12-10,162833711
667,2020-12-11,162345800
668,2020-12-14,163491919
669,2020-12-15,163294310
670,2020-12-16,165157530
671,2020-12-17,165462301
672,2020-12-18,167366444
673,2020-12-21,162268827
674,2020-12-22,166221041
675,2020-12-23,168816839
676,2020-12-24,169342504
677,2020-12-28,170004987
678,2020-12-29,169922718
679,2020-12-30,170115994
680,2020-12-31,170267722
681,2021-01-01,171364934
682,2021-01-04,173710376
683,2021-01-05,174391714
684,2021-01-06,174356928
685,2021-01-07,173269906
686,2021-01-08,177877821
687,2021-01-11,181704036
688,2021-01-12,181785404
689,2021-01-13,181030687
690,2021-01-14,180759567
691,2021-01-15,177174153
692,2021-01-18,173978390
693,2021-01-19,175852231
694,2021-01-20,177370288
695,2021-01-21,176506983
696,2021-01-22,177525742
697,2021-01-25,177030865
698,2021-01-27,176547140
699,2021-01-28,173898429
700,2021-01-29,169328753
701,2021-02-01,170577184
702,2021-02-02,173989991
703,2021-02-03,177769166
704,2021-02-04,177444519
705,2021-02-05,178250502
706,2021-02-08,179868274
707,2021-02-09,178562824
708,2021-02-10,179346223
709,2021-02-11,179839185
710,2021-02-12,178562564
711,2021-02-15,177497571
712,2021-02-16,177974027
713,2021-02-17,176439955
714,2021-02-18,176585564
715,2021-02-19,175067541
716,2021-02-22,170819872
717,2021-02-23,170200764
718,2021-02-24,171059109
719,2021-02-25,173152457
720,2021-02-26,168420940
721,2021-03-01,171241270
722,2021-03-02,174413272
723,2021-03-03,176004127
724,2021-03-04,175467899
725,2021-03-05,172806487
726,2021-03-08,173439969
727,2021-03-09,173249202
