Date,portfolio_values
12-06-2019,126132789
13-06-2019,126531571
14-06-2019,126127731
17-06-2019,125678524
18-06-2019,126639502
19-06-2019,125807997
20-06-2019,126084601
21-06-2019,125087580
24-06-2019,125402653
25-06-2019,124887246
26-06-2019,126961458
27-06-2019,126982418
28-06-2019,126517189
01-07-2019,127276402
02-07-2019,128073898
03-07-2019,128151670
04-07-2019,128633984
05-07-2019,125450363
08-07-2019,124314369
09-07-2019,123501841
10-07-2019,123166732
11-07-2019,124660672
12-07-2019,124918061
15-07-2019,125655722
16-07-2019,125818035
17-07-2019,125856028
18-07-2019,124544678
19-07-2019,123699952
22-07-2019,124478605
23-07-2019,125481417
24-07-2019,124930985
25-07-2019,125630505
26-07-2019,125555276
29-07-2019,124477141
30-07-2019,124013582
31-07-2019,125506564
01-08-2019,124621093
02-08-2019,124268723
05-08-2019,123630479
06-08-2019,124560946
07-08-2019,125077504
08-08-2019,128003164
09-08-2019,127341368
13-08-2019,125184770
14-08-2019,125540217
16-08-2019,126846546
19-08-2019,126533598
20-08-2019,127217000
21-08-2019,125741552
22-08-2019,125211919
23-08-2019,125545287
26-08-2019,126492358
27-08-2019,127877034
28-08-2019,127200670
29-08-2019,127228900
30-08-2019,127775721
03-09-2019,125713516
04-09-2019,126789469
05-09-2019,127587823
06-09-2019,128102029
09-09-2019,127393605
11-09-2019,126289357
12-09-2019,125697133
13-09-2019,126278810
16-09-2019,126379277
17-09-2019,125350050
18-09-2019,125777649
19-09-2019,124883041
20-09-2019,127038834
23-09-2019,123789665
24-09-2019,124736475
25-09-2019,125546392
26-09-2019,126949367
27-09-2019,127195328
30-09-2019,129006998
01-10-2019,126900432
03-10-2019,126807327
04-10-2019,126032940
07-10-2019,125336914
09-10-2019,125680168
10-10-2019,125599645
11-10-2019,126777698
14-10-2019,126644646
15-10-2019,127828995
16-10-2019,130147236
17-10-2019,131325017
18-10-2019,132650100
22-10-2019,134886609
23-10-2019,135450948
24-10-2019,135109535
25-10-2019,135725246
27-10-2019,136003212
29-10-2019,137364819
30-10-2019,137845877
31-10-2019,138120940
01-11-2019,136784227
04-11-2019,136458991
05-11-2019,135509334
06-11-2019,135514321
07-11-2019,135863073
08-11-2019,134049759
11-11-2019,133620357
13-11-2019,134424240
14-11-2019,134281839
15-11-2019,133634233
18-11-2019,133138518
19-11-2019,131628034
20-11-2019,132523994
21-11-2019,132736800
22-11-2019,132323774
25-11-2019,133545587
26-11-2019,132663664
27-11-2019,132672113
28-11-2019,133493846
29-11-2019,132090252
02-12-2019,131070645
03-12-2019,132010762
04-12-2019,132560214
05-12-2019,131967756
06-12-2019,131507545
09-12-2019,130328361
10-12-2019,129023827
11-12-2019,129676996
12-12-2019,130049676
13-12-2019,131433429
16-12-2019,131892828
17-12-2019,132989431
18-12-2019,133730992
19-12-2019,134504289
20-12-2019,135639034
23-12-2019,136083662
24-12-2019,136038160
26-12-2019,135701257
27-12-2019,136355542
30-12-2019,136450083
31-12-2019,135592540
01-01-2020,136473113
02-01-2020,136649966
03-01-2020,137433148
06-01-2020,136763096
07-01-2020,137413540
08-01-2020,137472062
09-01-2020,137242140
10-01-2020,137269777
13-01-2020,138245768
14-01-2020,138314952
15-01-2020,138065713
16-01-2020,138029331
17-01-2020,138439211
20-01-2020,137177144
21-01-2020,136695330
22-01-2020,137040226
23-01-2020,137514366
24-01-2020,137518237
27-01-2020,137233798
28-01-2020,136800110
29-01-2020,137501512
30-01-2020,136588102
31-01-2020,134165157
03-02-2020,130793380
04-02-2020,132762314
05-02-2020,132638541
06-02-2020,133749934
07-02-2020,134955268
10-02-2020,133966480
11-02-2020,134064245
12-02-2020,134178197
13-02-2020,134712742
14-02-2020,133635987
17-02-2020,132786952
18-02-2020,132743535
19-02-2020,134631387
20-02-2020,133949556
24-02-2020,131479000
25-02-2020,130947954
26-02-2020,129607749
27-02-2020,129437570
28-02-2020,124300185
02-03-2020,125274871
03-03-2020,128507716
04-03-2020,130033941
05-03-2020,130529939
06-03-2020,127466986
09-03-2020,121312540
11-03-2020,120776375
12-03-2020,111687992
13-03-2020,113729969
16-03-2020,107486247
17-03-2020,105585122
18-03-2020,98964024
19-03-2020,97444122
20-03-2020,104014145
23-03-2020,95216187
24-03-2020,98630976
25-03-2020,102330018
26-03-2020,105916735
27-03-2020,104491613
30-03-2020,103384212
31-03-2020,103384212
01-04-2020,100188719
03-04-2020,100326393
07-04-2020,108558606
08-04-2020,110312168
09-04-2020,114237678
13-04-2020,114459765
15-04-2020,116113211
16-04-2020,116903431
17-04-2020,116553712
20-04-2020,115055462
21-04-2020,115082883
22-04-2020,115805252
23-04-2020,116001553
24-04-2020,115557146
27-04-2020,117050808
28-04-2020,114953554
29-04-2020,115728224
30-04-2020,119193705
04-05-2020,117473896
05-05-2020,116309871
06-05-2020,116085406
07-05-2020,114633087
08-05-2020,115908027
11-05-2020,115452615
12-05-2020,115126346
13-05-2020,115076672
14-05-2020,113642872
15-05-2020,113356316
18-05-2020,112571681
19-05-2020,113191753
20-05-2020,115590639
21-05-2020,115765551
22-05-2020,116020327
26-05-2020,115847955
27-05-2020,117438561
28-05-2020,118013748
29-05-2020,122317473
01-06-2020,123160114
02-06-2020,122279802
03-06-2020,122378419
04-06-2020,124253647
05-06-2020,124918023
08-06-2020,124502117
09-06-2020,124070776
10-06-2020,123633693
11-06-2020,122533817
12-06-2020,121545521
15-06-2020,121245366
16-06-2020,120729476
17-06-2020,120265029
18-06-2020,121809235
19-06-2020,121950535
22-06-2020,123905515
23-06-2020,126085032
24-06-2020,123104876
25-06-2020,122741350
26-06-2020,123739055
29-06-2020,122376702
30-06-2020,121859692
01-07-2020,120561468
02-07-2020,121851542
03-07-2020,122203058
06-07-2020,121780632
07-07-2020,121665432
08-07-2020,120738314
09-07-2020,121187383
10-07-2020,121466852
13-07-2020,122452168
14-07-2020,121277661
15-07-2020,124916540
16-07-2020,126878943
17-07-2020,127683224
20-07-2020,128976914
21-07-2020,129261203
22-07-2020,129290374
23-07-2020,131128507
24-07-2020,131292850
27-07-2020,131118530
28-07-2020,132125156
29-07-2020,133497818
30-07-2020,135236683
31-07-2020,136911560
03-08-2020,136809642
04-08-2020,137304006
05-08-2020,136678816
06-08-2020,138092056
07-08-2020,137876390
10-08-2020,142587937
11-08-2020,141657081
12-08-2020,141418306
13-08-2020,141652562
14-08-2020,141251504
17-08-2020,142853412
18-08-2020,142800215
19-08-2020,141855192
20-08-2020,142287865
21-08-2020,143496672
24-08-2020,142703142
25-08-2020,141995108
26-08-2020,142292244
27-08-2020,142756159
28-08-2020,141777599
31-08-2020,138040125
01-09-2020,139920467
02-09-2020,141628977
03-09-2020,142447255
04-09-2020,139830127
07-09-2020,140440260
08-09-2020,139567966
09-09-2020,140588334
10-09-2020,140735737
11-09-2020,140864399
14-09-2020,143338089
15-09-2020,144412351
16-09-2020,146084893
17-09-2020,146881241
18-09-2020,152124988
21-09-2020,147588182
22-09-2020,148544130
23-09-2020,147231717
24-09-2020,142640497
25-09-2020,146782540
28-09-2020,148175532
29-09-2020,146003137
30-09-2020,146838001
01-10-2020,146947434
05-10-2020,149411241
06-10-2020,149251182
07-10-2020,149025436
08-10-2020,153042330
09-10-2020,153393279
12-10-2020,154523821
13-10-2020,153914830
14-10-2020,150936297
15-10-2020,148482715
16-10-2020,148826692
19-10-2020,148996961
20-10-2020,150102429
21-10-2020,150069433
22-10-2020,149888625
23-10-2020,149726368
26-10-2020,148940734
27-10-2020,151346390
28-10-2020,149728934
29-10-2020,149510752
30-10-2020,150038845
02-11-2020,148506069
03-11-2020,149371365
04-11-2020,151175925
05-11-2020,153532500
06-11-2020,153571118
09-11-2020,155145723
10-11-2020,149801992
11-11-2020,153183267
12-11-2020,152501357
13-11-2020,153598939
14-11-2020,153981097
17-11-2020,153314897
18-11-2020,152662111
19-11-2020,152617150
20-11-2020,153837712
23-11-2020,157048747
24-11-2020,157372120
25-11-2020,155138104
26-11-2020,157556086
27-11-2020,156709049
01-12-2020,157334590
02-12-2020,158647089
03-12-2020,160558552
04-12-2020,161026313
07-12-2020,161561781
08-12-2020,161263014
09-12-2020,161658481
10-12-2020,161999630
11-12-2020,161161455
14-12-2020,162735964
15-12-2020,162858833
16-12-2020,164601080
17-12-2020,165020616
18-12-2020,166737955
21-12-2020,161375701
22-12-2020,165754012
23-12-2020,168446463
24-12-2020,168681253
28-12-2020,169108302
29-12-2020,168890248
30-12-2020,169176480
31-12-2020,169724305
01-01-2021,170385985
04-01-2021,172251144
05-01-2021,172908081
06-01-2021,173352585
07-01-2021,172289712
08-01-2021,176819828
11-01-2021,180627508
12-01-2021,180696242
13-01-2021,180018532
14-01-2021,179139814
15-01-2021,174768790
18-01-2021,170975096
19-01-2021,172537805
20-01-2021,174066442
21-01-2021,172861518
22-01-2021,171453851
25-01-2021,170413912
27-01-2021,170172043
28-01-2021,167400357
29-01-2021,163146273
01-02-2021,163805740
02-02-2021,167045562
03-02-2021,171556396
04-02-2021,171316969
05-02-2021,172490146
08-02-2021,174064655
09-02-2021,173231604
10-02-2021,173968726
11-02-2021,174441355
12-02-2021,173252245
15-02-2021,172377612
16-02-2021,173126184
17-02-2021,171260070
18-02-2021,171875358
19-02-2021,170610557
22-02-2021,166317709
23-02-2021,165769453
24-02-2021,166943610
25-02-2021,169131699
26-02-2021,164891901
01-03-2021,168094431
02-03-2021,170628595
03-03-2021,172507977
04-03-2021,172047929
05-03-2021,169196875
08-03-2021,170339882
09-03-2021,169787222
10-03-2021,171461188
12-03-2021,170687623
15-03-2021,170722844
16-03-2021,171027160
17-03-2021,167618579
18-03-2021,163562138
19-03-2021,165945016
22-03-2021,167158240
23-03-2021,167690539
24-03-2021,167256642
25-03-2021,164646204
26-03-2021,165499452
30-03-2021,170957880
31-03-2021,170957880
01-04-2021,171706087
05-04-2021,170325151
06-04-2021,172762402
07-04-2021,173651338
08-04-2021,174168880
09-04-2021,177682258
12-04-2021,177131320
13-04-2021,175225715
15-04-2021,176691537
16-04-2021,178923899
19-04-2021,178771379
20-04-2021,179730728
22-04-2021,178294019
23-04-2021,177207222
26-04-2021,176804434
27-04-2021,177989117
28-04-2021,177680360
29-04-2021,177918997
30-04-2021,178968662
03-05-2021,179944154
04-05-2021,177127650
05-05-2021,182551626
06-05-2021,182748707
07-05-2021,183001830
10-05-2021,186287508
11-05-2021,185012847
12-05-2021,184386663
14-05-2021,184612862
17-05-2021,184266867
18-05-2021,184066962
19-05-2021,185630095
20-05-2021,185099918
21-05-2021,186273590
24-05-2021,186285603
25-05-2021,187231145
26-05-2021,187411608
27-05-2021,187215960
28-05-2021,185782347
31-05-2021,188079215
01-06-2021,188181684
02-06-2021,188631131
03-06-2021,188272842
04-06-2021,187511088
07-06-2021,187447197
08-06-2021,188649151
09-06-2021,188083612
10-06-2021,190196148
11-06-2021,190513487
14-06-2021,190271653
15-06-2021,189503212
16-06-2021,189273710
17-06-2021,188128115
18-06-2021,187711042
21-06-2021,188233183
22-06-2021,188070478
23-06-2021,187320537
24-06-2021,187136771
25-06-2021,187642939
28-06-2021,188985266
29-06-2021,190157297
30-06-2021,189678765
01-07-2021,191000442
02-07-2021,191768351
05-07-2021,191896151
06-07-2021,190369041
07-07-2021,191457705
08-07-2021,189139210
09-07-2021,190182071
12-07-2021,190401524
13-07-2021,191272185
14-07-2021,191541973
15-07-2021,191350438
16-07-2021,193218827
19-07-2021,193689599
20-07-2021,192264325
22-07-2021,192839991
23-07-2021,193689021
26-07-2021,194148397
27-07-2021,187868651
28-07-2021,187071215
29-07-2021,185841515
30-07-2021,189961960
02-08-2021,190716066
03-08-2021,194038469
04-08-2021,193657754
05-08-2021,194188138
06-08-2021,193137802
09-08-2021,193621154
10-08-2021,193059902
11-08-2021,190530833
12-08-2021,188606238
13-08-2021,188787995
16-08-2021,188440461
17-08-2021,190381369
18-08-2021,190581126
20-08-2021,189188821
23-08-2021,189939749
24-08-2021,191088930
25-08-2021,191005410
