FromDate,ToDate,NetRealizedPnL,NetUnrealizedPnL,TotalGL
14-03-2022,14-03-2022,89629.57,0,89629.57
15-03-2022,15-03-2022,-1417870.28,0,-1417870.28
16-03-2022,16-03-2022,682170.62,0,682170.62
17-03-2022,17-03-2022,-446962.2,-75665.56,-522627.76
18-03-2022,18-03-2022,0,-75665.56,-75665.56
21-03-2022,21-03-2022,1036804.71,-45489.72,991314.99
22-03-2022,22-03-2022,209155.79,114350.28,323506.07
23-03-2022,23-03-2022,627859.83,91976.29,719836.12
24-03-2022,24-03-2022,1003534.47,9377.41,1012911.88
25-03-2022,25-03-2022,40575.64,-58743.08,-18167.44
28-03-2022,28-03-2022,164815.1,-99090.55,65724.55
29-03-2022,29-03-2022,532004.43,-111081.25,420923.18
30-03-2022,30-03-2022,-453303.52,-87993.82,-541297.34
31-03-2022,31-03-2022,1189040.71,0,1189040.71
