open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
39422.1,39427.85,39411.9,39411.9,39400.0,,,,,,
39409.95,39424.25,39406.6,39409.65,39400.0,,,,,,
39411.35,39418.25,39395.7,39400.7,39400.0,,,,,,
39402.5,39405.7,39389.2,39398.65,39400.0,,,,,,
39397.8,39397.8,39389.95,39393.55,39400.0,,,,,,
39392.35,39401.3,39385.5,39395.9,39400.0,,,,,,
39397.15,39407.9,39394.2,39398.05,39400.0,,,,,,
39394.3,39416.75,39394.3,39408.0,39400.0,,,,,,
39406.4,39417.45,39404.65,39414.05,39400.0,,,,,,
39414.35,39417.65,39406.6,39408.75,39400.0,,,,,,
39409.25,39417.9,39407.45,39417.7,39400.0,,,,,,
39416.1,39439.8,39415.55,39436.8,39400.0,,,,,,
39436.35,39439.8,39426.55,39432.3,39400.0,,,,,,
39432.75,39455.65,39432.75,39441.1,39400.0,,,,,,
39441.2,39446.5,39434.75,39445.15,39400.0,,,,,,
39443.95,39445.65,39426.05,39427.75,39400.0,,,,,,
39429.9,39446.9,39425.7,39444.15,39400.0,,,,,,
39444.4,39450.6,39434.75,39437.15,39400.0,,,,,,
39439.2,39439.2,39426.4,39431.45,39400.0,,,,,,
39431.2,39431.6,39410.7,39418.9,39400.0,,,,,,
39419.0,39423.25,39414.4,39415.5,39400.0,,,,,,
39416.45,39428.05,39411.9,39424.95,39400.0,,,,,,
39426.3,39429.1,39412.15,39418.45,39400.0,,,,,,
39418.65,39421.05,39410.25,39413.25,39400.0,,,,,,
39414.05,39415.2,39403.8,39410.0,39400.0,,,,,,
39414.5,39430.9,39410.0,39430.05,39400.0,,,,,,
39433.75,39444.7,39429.0,39440.3,39400.0,,,,,,
39443.3,39445.3,39438.25,39440.8,39400.0,,,,,,
39440.35,39446.9,39433.15,39445.65,39400.0,,,,,,
39446.9,39447.5,39437.4,39444.15,39400.0,,,,,,
39445.6,39463.55,39444.0,39462.5,39500.0,,,,,,
39479.9,39485.6,39470.05,39474.85,39500.0,,,,,,
39475.4,39491.8,39472.05,39485.2,39500.0,,,,,,
39485.65,39491.65,39476.85,39480.3,39500.0,,,,,,
39477.15,39477.15,39463.35,39473.1,39500.0,,,,,,
39475.55,39482.2,39473.35,39481.9,39500.0,,,,,,
39480.6,39500.25,39479.45,39500.25,39500.0,,,,,,
39501.4,39503.7,39488.3,39489.35,39500.0,,,,,,
39490.75,39492.5,39478.4,39486.65,39500.0,,,,,,
39486.85,39487.95,39479.45,39485.6,39500.0,,,,,,
39484.85,39486.55,39460.8,39462.75,39500.0,,,,,,
39465.15,39470.5,39449.55,39450.7,39500.0,,,,,,
39451.6,39473.75,39451.6,39466.9,39500.0,,,,,,
39465.85,39465.85,39447.7,39450.0,39400.0,,,,,,
39452.15,39455.95,39447.55,39454.05,39500.0,,,,,,
39453.7,39465.3,39453.7,39461.6,39500.0,,,,,,
39460.2,39479.05,39460.2,39472.3,39500.0,,,,,,
39471.9,39476.75,39468.7,39475.35,39500.0,,,,,,
39472.6,39476.15,39465.55,39472.05,39500.0,,,,,,
39471.8,39472.75,39456.45,39456.45,39500.0,,,,,,
39457.9,39471.7,39455.8,39469.6,39500.0,,,,,,
39468.1,39471.8,39445.55,39451.75,39500.0,,,,,,
39450.9,39452.15,39424.65,39434.85,39400.0,,,,,,
39434.05,39440.6,39426.5,39428.3,39400.0,,,,,,
39427.0,39427.0,39413.6,39417.0,39400.0,,,,,,
39416.8,39426.5,39415.4,39423.85,39400.0,,,,,,
39423.9,39430.2,39384.9,39384.9,39400.0,,,,,,
39380.15,39408.45,39380.15,39407.4,39400.0,,,,,,
39407.45,39419.65,39403.3,39404.35,39400.0,,,,,,
39403.6,39421.6,39401.2,39421.6,39400.0,,,,,,
39422.4,39424.35,39415.4,39416.3,39400.0,,,,,,
39416.2,39434.4,39402.6,39433.2,39400.0,,,,,,
39432.3,39450.15,39430.25,39445.5,39400.0,,,,,,
39446.65,39460.3,39442.0,39455.95,39500.0,,,,,,
39456.7,39467.45,39450.6,39465.5,39500.0,,,,,,
39466.25,39475.9,39463.05,39467.75,39500.0,,,,,,
39465.35,39475.3,39462.4,39475.3,39500.0,,,,,,
39475.5,39480.1,39470.5,39474.5,39500.0,,,,,,
39473.95,39474.4,39446.1,39452.45,39500.0,,,,,,
39455.55,39459.15,39440.0,39440.0,39400.0,,,,,,
39439.35,39455.65,39437.65,39454.95,39500.0,,,,,,
39458.75,39460.6,39444.75,39447.85,39400.0,,,,,,
39447.25,39455.6,39440.55,39445.45,39400.0,,,,,,
39446.65,39448.8,39429.05,39437.9,39400.0,,,,,,
39437.4,39451.85,39436.65,39450.9,39500.0,,,,,,
39451.05,39459.5,39443.15,39453.05,39500.0,,,,,,
39456.6,39476.65,39452.5,39475.85,39500.0,,,,,,
39477.7,39491.65,39471.35,39471.35,39500.0,,,,,,
39474.9,39498.65,39465.5,39497.45,39500.0,,,,,,
39499.5,39505.2,39491.65,39500.6,39500.0,,,,,,
39500.9,39525.3,39495.5,39525.3,39500.0,,,,,,
39529.5,39540.4,39521.55,39530.85,39500.0,,,,,,
39533.4,39534.15,39524.8,39533.35,39500.0,,,,,,
39536.5,39552.15,39533.05,39552.15,39600.0,,,,,,
39551.0,39554.35,39538.75,39542.1,39500.0,,,,,,
39548.35,39548.65,39540.2,39546.2,39500.0,,,,,,
39549.25,39557.9,39545.5,39549.35,39500.0,,,,,,
39553.6,39554.65,39546.2,39546.2,39500.0,,,,,,
39549.8,39551.5,39538.9,39548.25,39500.0,,,,,,
39550.75,39559.25,39537.25,39546.8,39500.0,,,,,,
39547.4,39553.55,39541.0,39548.45,39500.0,,,,,,
39549.65,39572.7,39546.2,39566.6,39600.0,,,,,,
39566.05,39567.75,39554.6,39557.75,39600.0,,,,,,
39556.45,39559.95,39527.2,39529.6,39500.0,,,,,,
39530.2,39537.9,39514.3,39520.95,39500.0,,,,,,
39523.65,39528.95,39516.3,39528.95,39500.0,,,,,,
39526.15,39532.2,39512.25,39514.1,39500.0,,,,,,
39512.8,39539.2,39505.2,39539.2,39500.0,,,,,,
39538.6,39538.6,39514.9,39523.85,39500.0,,,,,,
39525.25,39525.3,39514.0,39515.35,39500.0,,,,,,
39514.95,39515.5,39491.3,39492.7,39500.0,,,,,,
39496.0,39507.1,39481.7,39487.65,39500.0,,,,,,
39487.85,39508.5,39487.85,39507.4,39500.0,,,,,,
39505.85,39519.15,39503.05,39505.65,39500.0,,,,,,
39504.55,39509.6,39501.15,39506.05,39500.0,,,,,,
39506.4,39515.55,39495.5,39510.65,39500.0,,,,,,
39509.55,39521.65,39501.35,39521.65,39500.0,,,,,,
39523.35,39523.5,39503.3,39512.15,39500.0,,,,,,
39511.25,39512.7,39476.5,39485.55,39500.0,,,,,,
39488.0,39493.85,39429.4,39447.15,39400.0,,,,,,
39449.75,39467.25,39431.2,39438.4,39400.0,,,,,,
39438.8,39458.5,39435.4,39448.8,39400.0,,,,,,
39450.35,39450.35,39427.85,39441.2,39400.0,,,,,,
39444.05,39446.9,39424.35,39425.4,39400.0,,,,,,
39429.05,39434.2,39417.25,39425.2,39400.0,,,,,,
39425.5,39429.75,39405.15,39405.75,39400.0,,,,,,
39402.5,39428.15,39399.15,39414.2,39400.0,,,,,,
39414.55,39427.75,39407.75,39420.75,39400.0,,,,,,
39422.55,39453.55,39419.35,39445.7,39400.0,,,,,,
39444.45,39444.75,39413.2,39420.4,39400.0,,,,,,
39420.5,39430.15,39413.65,39413.65,39400.0,,,,,,
39414.25,39414.25,39384.2,39395.7,39400.0,,,,,,
39396.25,39397.35,39377.9,39388.15,39400.0,,,,,,
39391.5,39396.95,39360.85,39361.3,39400.0,,,,,,
39368.3,39406.0,39357.25,39398.6,39400.0,,,,,,
39402.65,39402.65,39387.15,39389.15,39400.0,,,,,,
39389.05,39391.15,39362.7,39371.1,39400.0,,,,,,
39380.9,39381.1,39335.5,39335.5,39300.0,,,,,,
39340.2,39355.65,39339.4,39347.3,39300.0,,,,,,
39344.35,39365.65,39333.45,39365.65,39400.0,,,,,,
39366.2,39406.9,39364.55,39379.85,39400.0,,,,,,
39381.25,39395.45,39375.15,39392.75,39400.0,,,,,,
39395.1,39396.95,39360.4,39375.05,39400.0,,,,,,
39376.25,39376.25,39348.65,39354.2,39400.0,,,,,,
39353.5,39366.7,39348.75,39359.05,39400.0,,,,,,
39357.55,39362.8,39347.85,39362.8,39400.0,,,,,,
39373.85,39379.65,39316.4,39339.5,39300.0,,,,,,
39344.3,39363.55,39340.0,39351.2,39400.0,,,,,,
39349.35,39360.25,39343.5,39349.75,39300.0,,,,,,
39348.75,39353.85,39330.6,39337.8,39300.0,,,,,,
39341.9,39356.1,39338.65,39356.1,39400.0,,,,,,
39351.6,39356.65,39331.35,39342.6,39300.0,,,,,,
39340.2,39373.25,39331.85,39373.25,39400.0,,,,,,
39374.15,39398.05,39365.4,39367.3,39400.0,,,,,,
39365.95,39397.3,39365.95,39388.0,39400.0,,,,,,
39388.3,39403.65,39388.3,39393.75,39400.0,,,,,,
39394.15,39415.95,39394.15,39404.25,39400.0,,,,,,
39406.25,39455.55,39406.25,39446.9,39400.0,,,,,,
39445.3,39477.2,39445.3,39461.65,39500.0,,,,,,
39460.7,39474.9,39453.8,39455.6,39500.0,,,,,,
39460.9,39485.5,39460.3,39465.55,39500.0,,,,,,
39467.1,39485.75,39463.2,39478.45,39500.0,,,,,,
39477.35,39501.05,39477.35,39487.8,39500.0,,,,,,
39485.2,39512.3,39483.5,39495.85,39500.0,,,,,,
39493.8,39514.15,39493.8,39499.5,39500.0,,,,,,
39506.3,39508.45,39429.55,39435.7,39400.0,,,,,,
39454.95,39475.55,39437.55,39440.35,39400.0,,,,,,
39450.3,39450.3,39414.0,39419.95,39400.0,,,,,,
39423.25,39432.1,39415.95,39424.1,39400.0,,,,,,
39428.1,39442.05,39419.6,39432.85,39400.0,,,,,,
39437.0,39445.05,39429.05,39431.95,39400.0,,,,,,
39434.1,39435.45,39417.1,39421.35,39400.0,,,,,,
39415.75,39430.95,39407.95,39407.95,39400.0,,,,,,
39411.95,39416.3,39398.05,39413.2,39400.0,,,,,,
39412.35,39412.35,39363.5,39373.45,39400.0,,,,,,
39375.3,39399.85,39357.25,39376.65,39400.0,,,,,,
