datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEdate,CEtime,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
2020-01-01 12:24:00,32109.7,32113.9,32107.0,32112.4,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:24:00,2020-01-01,12:24,37.85,38.85,37.75,38.7,94.55,113.46,18.909999999999997,0,0,,,55.849999999999994,56.8,62.25,55.699999999999996,-6.450000000000003,,2020-01-01 12:24:00,122.3,123.1,119.45,121.05,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-54.7,-53.10000000000001,12.649999999999991,-56.75,-83.4,-13.269999999999996,160.15,160.85,158.3,159.75
2020-01-01 12:25:00,32113.05,32116.0,32105.55,32112.95,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:25:00,2020-01-01,12:25,38.65,38.65,37.65,38.65,94.55,113.46,18.909999999999997,0,0,,,55.9,56.9,62.25,55.9,-6.450000000000003,,2020-01-01 12:25:00,121.2,124.0,121.2,121.45,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-55.10000000000001,-54.85000000000001,12.649999999999991,-57.650000000000006,-83.4,-13.269999999999996,159.85,161.65,159.85,160.1
2020-01-01 12:26:00,32115.8,32115.8,32103.2,32108.15,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:26:00,2020-01-01,12:26,38.55,38.55,35.8,36.35,94.55,113.46,18.909999999999997,0,0,,,58.199999999999996,58.75,62.25,56.0,-6.450000000000003,,2020-01-01 12:26:00,121.2,131.55,121.2,129.0,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-62.650000000000006,-54.85000000000001,12.649999999999991,-65.20000000000002,-83.4,-13.269999999999996,159.75,167.35000000000002,159.75,165.35
2020-01-01 12:27:00,32107.95,32108.9,32097.95,32103.5,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:27:00,2020-01-01,12:27,36.05,36.75,34.5,35.15,94.55,113.46,18.909999999999997,0,0,,,59.4,60.05,62.25,57.8,-6.450000000000003,,2020-01-01 12:27:00,129.45,133.0,128.0,131.8,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-65.45000000000002,-61.650000000000006,12.649999999999991,-66.65,-83.4,-13.269999999999996,165.5,167.5,164.75,166.95000000000002
2020-01-01 12:28:00,32103.35,32105.55,32089.55,32089.55,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:28:00,2020-01-01,12:28,35.15,35.9,30.1,33.3,94.55,113.46,18.909999999999997,0,0,,,61.25,64.44999999999999,64.44999999999999,58.65,-6.450000000000003,,2020-01-01 12:28:00,131.7,138.85,129.1,138.55,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-72.20000000000002,-62.75,12.649999999999991,-72.5,-83.4,-13.269999999999996,166.85,168.95,165.0,171.85000000000002
2020-01-01 12:29:00,32091.1,32096.75,32080.4,32084.2,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:29:00,2020-01-01,12:29,32.95,34.3,32.95,33.35,94.55,113.46,18.909999999999997,0,0,,,61.199999999999996,61.599999999999994,64.44999999999999,60.25,-6.450000000000003,,2020-01-01 12:29:00,139.8,139.8,135.55,139.4,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-73.05000000000001,-69.20000000000002,12.649999999999991,-73.45000000000002,-83.4,-13.269999999999996,172.75,172.75,169.85000000000002,172.75
2020-01-01 12:30:00,32085.55,32085.55,32061.75,32067.2,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:30:00,2020-01-01,12:30,33.35,33.65,29.75,30.3,94.55,113.46,18.909999999999997,0,0,,,64.25,64.8,64.8,60.9,-6.450000000000003,,2020-01-01 12:30:00,139.25,168.0,137.6,155.1,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-88.75,-71.25,12.649999999999991,-101.65,-101.65,-13.269999999999996,172.6,197.75,171.25,185.4
2020-01-01 12:31:00,32067.7,32072.65,32057.2,32064.45,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:31:00,2020-01-01,12:31,30.65,31.95,30.65,31.55,94.55,113.46,18.909999999999997,0,0,,,63.0,63.9,64.8,62.599999999999994,-6.450000000000003,,2020-01-01 12:31:00,153.5,153.55,148.55,151.2,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-84.85,-82.20000000000002,12.649999999999991,-87.20000000000002,-101.65,-13.269999999999996,184.15,184.20000000000002,180.5,182.75
2020-01-01 12:32:00,32065.1,32084.75,32064.5,32080.65,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:32:00,2020-01-01,12:32,31.65,33.3,31.65,33.1,94.55,113.46,18.909999999999997,0,0,,,61.449999999999996,62.9,64.8,61.25,-6.450000000000003,,2020-01-01 12:32:00,150.9,150.9,142.0,144.55,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-78.20000000000002,-75.65,12.649999999999991,-84.55000000000001,-101.65,-13.269999999999996,182.55,182.55,175.3,177.65
2020-01-01 12:33:00,32077.45,32089.65,32076.0,32083.9,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:33:00,2020-01-01,12:33,32.9,33.6,32.55,33.35,94.55,113.46,18.909999999999997,0,0,,,61.199999999999996,62.0,64.8,60.949999999999996,-6.450000000000003,,2020-01-01 12:33:00,143.75,145.15,142.0,143.45,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-77.1,-75.65,12.649999999999991,-78.80000000000001,-101.65,-13.269999999999996,176.65,177.7,175.6,176.79999999999998
2020-01-01 12:34:00,32082.05,32089.05,32077.15,32088.55,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:34:00,2020-01-01,12:34,33.35,33.8,32.85,33.45,94.55,113.46,18.909999999999997,0,0,,,61.099999999999994,61.699999999999996,64.8,60.75,-6.450000000000003,,2020-01-01 12:34:00,144.35,145.7,138.9,139.15,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-72.80000000000001,-72.55000000000001,12.649999999999991,-79.35,-101.65,-13.269999999999996,177.7,178.54999999999998,172.7,172.60000000000002
2020-01-01 12:35:00,32090.7,32102.55,32085.8,32100.05,32100.0,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,2020-01-01 12:35:00,2020-01-01,12:35,33.4,35.4,33.25,34.95,94.55,113.46,18.909999999999997,0,0,,,59.599999999999994,61.3,64.8,59.15,-6.450000000000003,,2020-01-01 12:35:00,138.7,138.7,132.6,133.65,66.35,79.61999999999999,13.269999999999996,1,0,SL_hit,79.61999999999999,-67.30000000000001,-66.25,12.649999999999991,-72.35,-101.65,-13.269999999999996,172.1,171.95,168.0,168.60000000000002
