datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2021-03-18 12:35:00,34502.45,34535.05,34493.05,34527.55,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:36:00,34524.9,34525.6,34509.05,34522.0,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:37:00,34521.55,34522.85,34510.95,34521.8,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:38:00,34522.5,34537.05,34521.15,34527.35,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:39:00,34523.5,34532.65,34518.15,34525.7,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:40:00,34527.8,34529.75,34508.35,34517.45,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:41:00,34519.75,34547.3,34517.2,34543.35,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:42:00,34541.2,34544.65,34536.85,34542.9,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:43:00,34541.45,34550.75,34536.95,34548.65,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:44:00,34546.85,34549.3,34526.6,34538.45,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:45:00,34541.0,34542.55,34532.5,34537.4,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:46:00,34538.65,34540.7,34511.6,34512.8,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:47:00,34511.1,34531.25,34508.45,34530.25,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:48:00,34525.55,34527.45,34507.75,34509.45,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:49:00,34515.45,34526.0,34509.95,34509.95,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:50:00,34507.75,34517.05,34487.1,34487.1,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:51:00,34483.0,34507.95,34483.0,34502.4,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:52:00,34502.2,34504.0,34478.8,34478.8,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:53:00,34478.9,34488.8,34472.55,34480.95,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:54:00,34478.75,34479.55,34462.95,34472.8,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:55:00,34474.0,34475.65,34455.35,34455.35,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:56:00,34456.1,34458.95,34435.2,34450.15,34500.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:57:00,34449.6,34449.6,34414.05,34420.65,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:58:00,34420.95,34446.7,34413.8,34446.7,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 12:59:00,34443.7,34466.55,34437.1,34438.9,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:00:00,34437.3,34437.3,34367.7,34372.25,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:01:00,34371.95,34389.1,34366.9,34367.45,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:02:00,34369.05,34392.8,34366.75,34378.55,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:03:00,34375.4,34381.45,34343.5,34349.15,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:04:00,34346.6,34350.75,34328.8,34335.35,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:05:00,34333.2,34368.0,34326.5,34353.1,34400.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:06:00,34353.15,34360.7,34285.2,34293.15,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:07:00,34289.55,34298.85,34250.45,34281.2,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:08:00,34281.65,34309.45,34270.55,34305.1,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:09:00,34306.45,34309.3,34275.65,34287.3,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:10:00,34282.15,34286.95,34263.15,34273.75,34300.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:11:00,34271.7,34271.7,34239.1,34242.95,34200.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
2021-03-18 13:12:00,34241.8,34241.8,34170.05,34201.2,34200.0,2021-03-18,2021-03-25,2021-04-01,2021-03-25,2021-04-29,2021-05-27
