date,final_close,final_CEentryPrice,final_CEhitstatus,final_CE_maxMTM,final_CE_minMTM,final_CE_PnL,final_PEentryPrice,final_PEhitstatus,final_PE_maxMTM,final_PE_minMTM,final_PE_PnL,finalTotal_PnL
2021-05-19,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15,33659.15
2021-05-20,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1,33401.1
2021-05-21,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8,34678.8
2021-05-24,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6,34841.6
2021-05-25,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8,34705.8
2021-05-26,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25,34675.25
2021-05-27,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3,35134.3
2021-05-28,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05,35225.05
2021-05-31,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55,35484.55
2021-06-01,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35,35344.35
2021-06-02,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5,35399.5
2021-06-03,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8,35652.8
2021-06-04,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5,35343.5
2021-06-07,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05,35411.05
2021-06-08,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7,35084.7
2021-06-09,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7,34808.7
2021-06-10,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65,35152.65
2021-06-11,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15,35053.15
2021-06-14,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05,34940.05
2021-06-15,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7,35217.7
2021-06-16,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3,34985.3
2021-06-17,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7,34524.7
2021-06-18,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25,34692.25
2021-06-21,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3,34874.3
2021-06-22,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55,34720.55
2021-06-23,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2,34591.2
2021-06-24,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7,34858.7
2021-06-25,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1,35334.1
2021-06-28,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75,35402.75
2021-06-29,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95,34997.95
2021-06-30,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55,34780.55
2021-07-01,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3,34721.3
2021-07-02,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8,34835.8
2021-07-05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05,35222.05
2021-07-06,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8,35525.8
2021-07-07,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75,35758.75
2021-07-08,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9,35282.9
2021-07-09,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65,35093.65
2021-07-12,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5,35192.5
2021-07-13,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15,35641.15
2021-07-14,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5,35644.5
2021-07-15,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9,35894.9
2021-07-16,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05,35752.05
2021-07-19,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55,35095.55
2021-07-20,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05,34415.05
2021-07-22,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5,34705.5
2021-07-23,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4,35007.4
2021-07-26,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7,34929.7
2021-07-27,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45,34796.45
2021-07-28,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4,34558.4
2021-07-29,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35,34740.35
2021-07-30,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5,34579.5
2021-08-02,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65,34725.65
2021-08-03,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5,35199.5
2021-08-04,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5,35994.5
2021-08-05,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85,35793.85
2021-08-06,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1
2021-08-09,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65,36011.65
2021-08-10,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55,36007.55
2021-08-11,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6,35786.6
2021-08-12,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1,35986.1
2021-08-13,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85,36130.85
2021-08-16,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1,36048.1
2021-08-17,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1,35882.1
2021-08-18,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95,35480.95
2021-08-20,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9,35027.9
2021-08-23,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55,35080.55
2021-08-24,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8,35677.8
2021-08-25,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65,35554.65
2021-08-26,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8,35602.8
2021-08-27,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45,35605.45
2021-08-30,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25,36360.25
2021-08-31,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9,36393.9
2021-09-01,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85,36513.85
2021-09-02,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45,36874.45
2021-09-03,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25,36763.25
2021-09-06,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25,36588.25
2021-09-07,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55,36457.55
2021-09-08,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2,36844.2
2021-09-09,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3,36670.3
2021-09-13,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55,36496.55
2021-09-14,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7,36613.7
2021-09-15,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45,36860.45
2021-09-16,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1,37687.1
2021-09-17,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3,37889.3
2021-09-20,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2,37075.2
2021-09-21,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0,37293.0
2021-09-22,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2,36987.2
2021-09-23,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3,37811.3
2021-09-24,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05,37790.05
2021-09-27,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0,38170.0
2021-09-28,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2,37873.2
2021-09-29,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25,37741.25
