datetime,open,high,low,close,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt
2020-09-01 12:07:00,23604.2,23646.4,23599.2,23611.1,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:08:00,23613.0,23645.7,23613.0,23642.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:09:00,23640.6,23665.25,23621.8,23657.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:10:00,23651.9,23681.2,23651.25,23651.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:11:00,23653.9,23671.8,23637.95,23658.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:12:00,23656.95,23667.95,23655.25,23657.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:13:00,23657.95,23659.55,23614.25,23619.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:14:00,23617.35,23658.2,23616.1,23656.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:15:00,23655.35,23661.4,23628.7,23639.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:16:00,23640.2,23656.5,23634.75,23645.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:17:00,23645.05,23646.0,23610.7,23641.3,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:18:00,23637.55,23646.95,23626.6,23643.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:19:00,23643.9,23644.75,23623.75,23639.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:20:00,23641.15,23664.95,23638.55,23653.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:21:00,23655.15,23655.15,23628.65,23647.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:22:00,23645.45,23650.7,23620.35,23621.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:23:00,23623.35,23623.35,23580.95,23614.65,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:24:00,23619.6,23643.05,23619.6,23637.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:25:00,23637.6,23637.6,23619.5,23628.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:26:00,23630.35,23645.2,23611.0,23641.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:27:00,23640.9,23646.25,23622.35,23635.85,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:28:00,23635.5,23693.45,23627.3,23670.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:29:00,23671.05,23701.75,23658.2,23701.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:30:00,23702.05,23722.75,23690.7,23691.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:31:00,23690.95,23716.5,23684.2,23704.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:32:00,23704.95,23709.65,23686.7,23686.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:33:00,23686.25,23705.75,23665.0,23705.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:34:00,23709.15,23726.4,23696.35,23696.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:35:00,23692.7,23727.5,23689.55,23718.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:36:00,23718.6,23759.6,23718.6,23749.35,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:37:00,23749.1,23795.85,23749.1,23790.4,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:38:00,23791.5,23836.1,23789.5,23791.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:39:00,23798.2,23809.95,23780.55,23791.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:40:00,23792.9,23862.8,23792.9,23853.15,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:41:00,23852.85,23898.85,23852.75,23892.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:42:00,23891.7,23905.3,23851.05,23851.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:43:00,23858.15,23868.65,23836.1,23847.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:44:00,23845.4,23849.35,23812.8,23830.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:45:00,23835.4,23889.5,23835.4,23864.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:46:00,23866.7,23929.1,23865.95,23893.1,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:47:00,23887.35,23903.05,23866.5,23900.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:48:00,23899.0,23925.0,23883.95,23883.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:49:00,23882.4,23909.65,23882.4,23894.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:50:00,23894.7,23933.65,23881.6,23882.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:51:00,23883.85,23948.3,23883.85,23943.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:52:00,23949.35,23988.45,23947.5,23987.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:53:00,23990.55,24026.65,23977.75,23997.8,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:54:00,23997.0,24018.5,23986.0,24007.5,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:55:00,24012.0,24030.8,23980.3,23990.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:56:00,23990.6,24018.15,23990.6,24006.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:57:00,24014.35,24017.45,23955.0,23963.1,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:58:00,23960.95,23993.25,23931.05,23931.05,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 12:59:00,23936.2,23972.7,23936.2,23967.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:00:00,23963.65,23986.05,23948.8,23950.25,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:01:00,23950.9,23951.95,23909.95,23936.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:02:00,23936.25,23945.45,23927.65,23938.55,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:03:00,23940.0,23976.35,23940.0,23952.1,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:04:00,23953.15,23994.35,23953.15,23974.0,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:05:00,23970.9,24015.75,23970.9,23998.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:06:00,24000.2,24075.3,23999.25,24069.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:07:00,24067.3,24106.65,24058.95,24076.65,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:08:00,24078.85,24093.1,24061.95,24068.65,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:09:00,24068.3,24091.65,24041.15,24044.75,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:10:00,24045.1,24092.75,24045.1,24088.9,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:11:00,24087.95,24109.6,24086.3,24093.45,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:12:00,24094.05,24115.8,24075.95,24075.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:13:00,24078.85,24079.5,24017.95,24045.6,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:14:00,24044.55,24057.85,24029.0,24055.4,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:15:00,24059.4,24094.95,24042.15,24043.95,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:16:00,24041.55,24046.4,24025.9,24028.7,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:17:00,24028.8,24030.65,23994.0,24019.2,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
2020-09-01 13:18:00,24020.05,24057.05,24020.05,24052.3,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-29,2020-11-26
