datetime,open,high,low,close,ATMStrPr,currWeek_exp_dt,nextWeek_exp_dt,farWeek_exp_dt,currMonth_exp_dt,nextMonth_exp_dt,farMonth_exp_dt,index_x,CEopen,CEhigh,CElow,CEclose,CEentryPrice,CEstoploss,CEtarget,CE_SLhit,CE_Tgthit,CEhitstatus,CEexitPrice,CE_MTM,CE_highMTM,CE_maxMTM,CE_lowMTM,CE_minMTM,CE_PnL,index_y,PEopen,PEhigh,PElow,PEclose,PEentryPrice,PEstoploss,PEtarget,PE_SLhit,PE_Tgthit,PEhitstatus,PEexitPrice,PE_MTM,PE_highMTM,PE_maxMTM,PE_lowMTM,PE_minMTM,PE_PnL,CBopen,CBhigh,CBlow,CBclose
01-01-2020 13:51,32118.2,32127.65,32117.05,32123.65,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:51,35.4,35.9,35.05,35.6,94.55,113.46,18.91,0,0,,,58.95,59.5,64.8,58.65,-6.45,,01-01-2020 13:51,122.35,122.75,120.35,121,66.35,79.62,13.27,1,0,SL_hit,79.62,-54.65,-54,12.65,-56.4,-101.65,-13.27,157.75,157.8,156.25,156.6
01-01-2020 13:52,32125.5,32151.15,32123.25,32147.75,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:52,35.75,40.1,35.75,38.05,94.55,113.46,18.91,0,0,,,56.5,58.8,64.8,54.45,-6.45,,01-01-2020 13:52,120.75,120.75,107,112.25,66.35,79.62,13.27,1,0,SL_hit,79.62,-45.9,-40.65,12.65,-54.4,-101.65,-13.27,156.5,156.5,147.1,150.3
01-01-2020 13:53,32147.5,32150.75,32138.75,32149.55,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:53,38.2,38.45,36.85,37.75,94.55,113.46,18.91,0,0,,,56.8,57.7,64.8,56.1,-6.45,,01-01-2020 13:53,113,115.05,111.7,113.5,66.35,79.62,13.27,1,0,SL_hit,79.62,-47.15,-45.35,12.65,-48.7,-101.65,-13.27,151.2,151.9,150.15,151.25
01-01-2020 13:54,32153.7,32154.55,32148,32152.35,32200,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:54,37.85,39.35,37.35,38.7,94.55,113.46,18.91,0,0,,,55.85,57.2,64.8,55.2,-6.45,,01-01-2020 13:54,112.9,113.55,107.05,110.15,66.35,79.62,13.27,1,0,SL_hit,79.62,-43.8,-40.7,12.65,-47.2,-101.65,-13.27,150.75,150.9,146.4,148.85
01-01-2020 13:55,32152.55,32168.25,32150.45,32163.85,32200,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:55,38.85,41.65,38.45,39.55,94.55,113.46,18.91,0,0,,,55,56.1,64.8,52.9,-6.45,,01-01-2020 13:55,108.85,109.25,103.1,107.95,66.35,79.62,13.27,1,0,SL_hit,79.62,-41.6,-36.75,12.65,-42.9,-101.65,-13.27,147.7,147.7,144.75,147.5
01-01-2020 13:56,32161,32162.2,32142.7,32153.1,32200,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:56,39.8,39.8,36.35,37.95,94.55,113.46,18.91,0,0,,,56.6,58.2,64.8,54.75,-6.45,,01-01-2020 13:56,107.9,115.3,107.55,112.1,66.35,79.62,13.27,1,0,SL_hit,79.62,-45.75,-41.2,12.65,-48.95,-101.65,-13.27,147.7,151.65,147.35,150.05
01-01-2020 13:57,32150.25,32160.45,32148.5,32154.35,32200,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:57,38,39.2,37.3,37.8,94.55,113.46,18.91,0,0,,,56.75,57.25,64.8,55.35,-6.45,,01-01-2020 13:57,112.65,113.3,109.2,112.85,66.35,79.62,13.27,1,0,SL_hit,79.62,-46.5,-42.85,12.65,-46.95,-101.65,-13.27,150.65,150.6,148.4,150.65
01-01-2020 13:58,32156.25,32156.25,32139.75,32144.6,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:58,37.7,38.05,36.25,36.45,94.55,113.46,18.91,0,0,,,58.1,58.3,64.8,56.5,-6.45,,01-01-2020 13:58,112.3,116,110.7,115.5,66.35,79.62,13.27,1,0,SL_hit,79.62,-49.15,-44.35,12.65,-49.65,-101.65,-13.27,150,152.25,148.75,151.95
01-01-2020 13:59,32144.3,32152.15,32141.35,32147.1,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 13:59,36.45,38.1,36.45,36.85,94.55,113.46,18.91,0,0,,,57.7,58.1,64.8,56.45,-6.45,,01-01-2020 13:59,115.3,115.3,110.05,113.75,66.35,79.62,13.27,1,0,SL_hit,79.62,-47.4,-43.7,12.65,-48.95,-101.65,-13.27,151.75,151.75,148.15,150.6
01-01-2020 14:00,32146.2,32152,32144.1,32145.05,32100,02-01-2020,09-01-2020,16-01-2020,30-01-2020,27-02-2020,26-03-2020,01-01-2020 14:00,36.3,38.25,36.3,37,94.55,113.46,18.91,0,0,,,57.55,58.25,64.8,56.3,-6.45,,01-01-2020 14:00,115.05,115.05,110,113.25,66.35,79.62,13.27,1,0,SL_hit,79.62,-46.9,-43.65,12.65,-48.7,-101.65,-13.27,151.35,151.35,148.25,150.25
