entryDt,Entry_relventExpiryDt,Entry_BANKNIFTY_price,Entry_CE_strike,Entry_PE_strike,Entry_symbolCE,Entry_symbolPE,Entry_year,Entry_CEprice,Entry_PEprice,exitDt,Exit_relventExpiryDt,Exit_BANKNIFTY_price,Exit_CE_strike,Exit_PE_strike,Exit_symbolCE,Exit_symbolPE,Exit_year,Exit_CEprice,Exit_PEprice
2020-04-23 15:15:00,2020-04-30 15:15:00,20260.05,20400,20200,BANKNIFTY20043020400CE,BANKNIFTY20043020200PE,2020,493.5,616.95,2020-04-30 15:15:00,2020-04-30 15:15:00,21546.05,20400,20200,BANKNIFTY20043020400CE,BANKNIFTY20043020200PE,2020,1143.55,0.1
2020-04-30 15:15:00,2020-05-07 15:15:00,21546.05,21600,21400,BANKNIFTY20050721600CE,BANKNIFTY20050721400PE,2020,419.3,483.05,2020-05-07 15:15:00,2020-05-07 15:15:00,19502.05,21600,21400,BANKNIFTY20050721600CE,BANKNIFTY20050721400PE,2020,0.05,
2020-05-07 15:15:00,2020-05-14 15:15:00,19502.05,19600,19400,BANKNIFTY20051419600CE,BANKNIFTY20051419400PE,2020,537.55,518.0,2020-05-14 15:15:00,2020-05-14 15:15:00,19047.85,19600,19400,BANKNIFTY20051419600CE,BANKNIFTY20051419400PE,2020,0.1,337.5
2020-05-14 15:15:00,2020-05-21 15:15:00,19047.85,19100,18900,BANKNIFTY20052119100CE,BANKNIFTY20052118900PE,2020,554.35,509.95,2020-05-21 15:15:00,2020-05-21 15:15:00,17738.05,19100,18900,BANKNIFTY20052119100CE,BANKNIFTY20052118900PE,2020,0.1,
2020-05-21 15:15:00,2020-05-28 15:15:00,17738.05,17800,17600,BANKNIFTY20052817800CE,BANKNIFTY20052817600PE,2020,346.55,396.45,2020-05-28 15:15:00,2020-05-28 15:15:00,19155.2,17800,17600,BANKNIFTY20052817800CE,BANKNIFTY20052817600PE,2020,1363.5,0.05
2020-05-28 15:15:00,2020-06-04 15:15:00,19155.2,19300,19100,BANKNIFTY20060419300CE,BANKNIFTY20060419100PE,2020,332.25,511.6,2020-06-04 15:15:00,2020-06-04 15:15:00,20392.4,19300,19100,BANKNIFTY20060419300CE,BANKNIFTY20060419100PE,2020,,
2020-06-04 15:15:00,2020-06-11 15:15:00,20392.4,20500,20300,BANKNIFTY20061120500CE,BANKNIFTY20061120300PE,2020,,,2020-06-11 15:15:00,2020-06-11 15:15:00,20508.45,20500,20300,BANKNIFTY20061120500CE,BANKNIFTY20061120300PE,2020,32.7,0.15
2020-06-11 15:15:00,2020-06-18 15:15:00,20508.45,20600,20400,BANKNIFTY20061820600CE,BANKNIFTY20061820400PE,2020,574.15,587.15,2020-06-18 15:15:00,2020-06-18 15:15:00,20926.25,20600,20400,BANKNIFTY20061820600CE,BANKNIFTY20061820400PE,2020,328.05,0.2
2020-06-18 15:15:00,2020-06-25 15:15:00,20926.25,21000,20800,BANKNIFTY20062521000CE,BANKNIFTY20062520800PE,2020,483.8,500.85,2020-06-25 15:15:00,2020-06-25 15:15:00,21509.65,21000,20800,BANKNIFTY20062521000CE,BANKNIFTY20062520800PE,2020,504.6,0.15
2020-06-25 15:15:00,2020-07-02 15:15:00,21509.65,21600,21400,BANKNIFTY20070221600CE,BANKNIFTY20070221400PE,2020,508.0,564.85,2020-07-02 15:15:00,2020-07-02 15:15:00,21919.4,21600,21400,BANKNIFTY20070221600CE,BANKNIFTY20070221400PE,2020,348.3,0.15
