entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,year,CEprice
2020-07-09 15:15:00,2020-07-09,2020-07-09,2020-07-09,22894.8,23150,22650,BANKNIFTY20070923150CE,2020,
2020-07-16 15:15:00,2020-07-16,2020-07-16,2020-07-16,21555.25,21800,21300,BANKNIFTY20071621800CE,2020,0.2
2020-07-23 15:15:00,2020-07-23,2020-07-23,2020-07-23,23078.15,23350,22850,BANKNIFTY20072323350CE,2020,
2020-07-30 15:15:00,2020-07-30,2020-07-30,2020-07-30,21671.9,21900,21400,BANKNIFTY20073021900CE,2020,0.25
2020-08-06 15:15:00,2020-08-06,2020-08-06,2020-08-06,21659.05,21900,21400,BANKNIFTY20080621900CE,2020,0.2
2020-08-13 15:15:00,2020-08-13,2020-08-13,2020-08-13,22196.5,22450,21950,BANKNIFTY20081322450CE,2020,
2020-08-20 15:15:00,2020-08-20,2020-08-20,2020-08-20,21989.3,22250,21750,BANKNIFTY20082022250CE,2020,
2020-08-27 15:15:00,2020-08-27,2020-08-27,2020-08-27,23585.85,23850,23350,BANKNIFTY20082723850CE,2020,
2020-09-03 15:15:00,2020-09-03,2020-09-03,2020-09-03,23511.4,23750,23250,BANKNIFTY20090323750CE,2020,
2020-09-10 15:15:00,2020-09-10,2020-09-10,2020-09-10,22473.35,22700,22200,BANKNIFTY20091022700CE,2020,0.25
2020-09-17 15:15:00,2020-09-17,2020-09-17,2020-09-17,22334.95,22600,22100,BANKNIFTY20091722600CE,2020,0.25
2020-09-24 15:15:00,2020-09-24,2020-09-24,2020-09-24,20444.85,20700,20200,BANKNIFTY20092420700CE,2020,0.3
2020-10-01 15:15:00,2020-10-01,2020-10-01,2020-10-01,22264.0,22500,22000,BANKNIFTY20100122500CE,2020,0.15
2020-10-08 15:15:00,2020-10-08,2020-10-08,2020-10-08,23193.25,23450,22950,BANKNIFTY20100823450CE,2020,
2020-10-15 15:15:00,2020-10-15,2020-10-15,2020-10-15,22985.95,23250,22750,BANKNIFTY20101523250CE,2020,
2020-10-22 15:15:00,2020-10-22,2020-10-22,2020-10-22,24486.85,24750,24250,BANKNIFTY20102224750CE,2020,
2020-10-29 15:15:00,2020-10-29,2020-10-29,2020-10-29,24114.45,24350,23850,BANKNIFTY20102924350CE,2020,
2020-11-05 15:15:00,2020-11-05,2020-11-05,2020-11-05,26323.7,26550,26050,BANKNIFTY20110526550CE,2020,
2020-11-12 15:15:00,2020-11-12,2020-11-12,2020-11-12,28311.05,28550,28050,BANKNIFTY20111228550CE,2020,
2020-11-19 15:15:00,2020-11-19,2020-11-19,2020-11-19,28894.85,29150,28650,BANKNIFTY20111929150CE,2020,
2020-11-26 15:15:00,2020-11-26,2020-11-26,2020-11-26,29568.7,29800,29300,BANKNIFTY20112629800CE,2020,0.35
2020-12-03 15:15:00,2020-12-03,2020-12-03,2020-12-03,29441.4,29700,29200,BANKNIFTY20120329700CE,2020,0.3
2020-12-10 15:15:00,2020-12-10,2020-12-10,2020-12-10,30509.5,30750,30250,BANKNIFTY20121030750CE,2020,
2020-12-17 15:15:00,2020-12-17,2020-12-17,2020-12-17,30849.5,31100,30600,BANKNIFTY20121731100CE,2020,0.2
2020-12-24 15:15:00,2020-12-24,2020-12-24,2020-12-24,30378.55,30650,30150,BANKNIFTY20122430650CE,2020,
2020-12-31 15:15:00,2020-12-31,2020-12-31,2020-12-31,31250.35,31500,31000,BANKNIFTY20123131500CE,2020,0.3
2021-01-07 15:15:00,2021-01-07,2021-01-07,2021-01-07,31948.3,32200,31700,BANKNIFTY21010732200CE,2021,0.25
2021-01-14 15:15:00,2021-01-14,2021-01-14,2021-01-14,32497.4,32750,32250,BANKNIFTY21011432750CE,2021,
2021-01-21 15:15:00,2021-01-21,2021-01-21,2021-01-21,32139.5,32400,31900,BANKNIFTY21012132400CE,2021,0.85
2021-01-28 15:15:00,2021-01-28,2021-01-28,2021-01-28,30417.1,30650,30150,BANKNIFTY21012830650CE,2021,
2021-02-04 15:15:00,2021-02-04,2021-02-04,2021-02-04,35304.75,35550,35050,BANKNIFTY21020435550CE,2021,
2021-02-11 15:15:00,2021-02-11,2021-02-11,2021-02-11,35759.0,36000,35500,BANKNIFTY21021136000CE,2021,0.4
2021-02-18 15:15:00,2021-02-18,2021-02-18,2021-02-18,36611.9,36850,36350,BANKNIFTY21021836850CE,2021,
2021-02-25 15:15:00,2021-02-25,2021-02-25,2021-02-25,36565.2,36800,36300,BANKNIFTY21022536800CE,2021,0.45
2021-03-04 15:15:00,2021-03-04,2021-03-04,2021-03-04,35809.4,36050,35550,BANKNIFTY21030436050CE,2021,
2021-03-10 15:15:00,2021-03-10,2021-03-10,2021-03-10,35935.8,36200,35700,BANKNIFTY21031036200CE,2021,0.35
2021-03-18 15:15:00,2021-03-18,2021-03-18,2021-03-18,33931.0,34200,33700,BANKNIFTY21031834200CE,2021,0.75
2021-03-25 15:15:00,2021-03-25,2021-03-25,2021-03-25,32938.5,33200,32700,BANKNIFTY21032533200CE,2021,1.05
2021-04-01 15:15:00,2021-04-01,2021-04-01,2021-04-01,33942.1,34200,33700,BANKNIFTY21040134200CE,2021,1.05
2021-04-08 15:15:00,2021-04-08,2021-04-08,2021-04-08,32770.05,33000,32500,BANKNIFTY21040833000CE,2021,0.4
2021-04-15 15:15:00,2021-04-15,2021-04-15,2021-04-15,32103.3,32350,31850,BANKNIFTY21041532350CE,2021,
2021-04-22 15:15:00,2021-04-22,2021-04-22,2021-04-22,31772.45,32000,31500,BANKNIFTY21042232000CE,2021,0.3
2021-04-29 15:15:00,2021-04-29,2021-04-29,2021-04-29,33728.1,34000,33500,BANKNIFTY21042934000CE,2021,0.3
2021-05-06 15:15:00,2021-05-06,2021-05-06,2021-05-06,32855.1,33100,32600,BANKNIFTY21050633100CE,2021,0.3
