entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
09-04-2020 15:15,09-04-2020,09-04-2020,09-04-2020,19938.7,20200,19700,BANKNIFTY20040920200CE,BANKNIFTY20040919700PE,2020,0.1,0.5
16-04-2020 15:15,16-04-2020,16-04-2020,16-04-2020,19406.25,19650,19150,BANKNIFTY20041619650CE,BANKNIFTY20041619150PE,2020,,
23-04-2020 15:15,23-04-2020,23-04-2020,23-04-2020,20260.05,20500,20000,BANKNIFTY20042320500CE,BANKNIFTY20042320000PE,2020,0.15,0.25
30-04-2020 15:15,30-04-2020,30-04-2020,30-04-2020,21546.05,21800,21300,BANKNIFTY20043021800CE,BANKNIFTY20043021300PE,2020,0.3,0.2
07-05-2020 15:15,07-05-2020,07-05-2020,07-05-2020,19502.05,19750,19250,BANKNIFTY20050719750CE,BANKNIFTY20050719250PE,2020,,
14-05-2020 15:15,14-05-2020,14-05-2020,14-05-2020,19047.85,19300,18800,BANKNIFTY20051419300CE,BANKNIFTY20051418800PE,2020,0.1,0.15
21-05-2020 15:15,21-05-2020,21-05-2020,21-05-2020,17738.05,18000,17500,BANKNIFTY20052118000CE,BANKNIFTY20052117500PE,2020,0.15,0.1
28-05-2020 15:15,28-05-2020,28-05-2020,28-05-2020,19155.2,19400,18900,BANKNIFTY20052819400CE,BANKNIFTY20052818900PE,2020,0.05,0.1
04-06-2020 15:15,04-06-2020,04-06-2020,04-06-2020,20392.4,20650,20150,BANKNIFTY20060420650CE,BANKNIFTY20060420150PE,2020,,
11-06-2020 15:15,11-06-2020,11-06-2020,11-06-2020,20508.45,20750,20250,BANKNIFTY20061120750CE,BANKNIFTY20061120250PE,2020,,
18-06-2020 15:15,18-06-2020,18-06-2020,18-06-2020,20926.25,21200,20700,BANKNIFTY20061821200CE,BANKNIFTY20061820700PE,2020,0.2,0.25
25-06-2020 15:15,25-06-2020,25-06-2020,25-06-2020,21509.65,21750,21250,BANKNIFTY20062521750CE,BANKNIFTY20062521250PE,2020,,
02-07-2020 15:15,02-07-2020,02-07-2020,02-07-2020,21919.4,22150,21650,BANKNIFTY20070222150CE,BANKNIFTY20070221650PE,2020,,
09-07-2020 15:15,09-07-2020,09-07-2020,09-07-2020,22894.8,23150,22650,BANKNIFTY20070923150CE,BANKNIFTY20070922650PE,2020,,
16-07-2020 15:15,16-07-2020,16-07-2020,16-07-2020,21555.25,21800,21300,BANKNIFTY20071621800CE,BANKNIFTY20071621300PE,2020,0.2,0.3
23-07-2020 15:15,23-07-2020,23-07-2020,23-07-2020,23078.15,23350,22850,BANKNIFTY20072323350CE,BANKNIFTY20072322850PE,2020,,
30-07-2020 15:15,30-07-2020,30-07-2020,30-07-2020,21671.9,21900,21400,BANKNIFTY20073021900CE,BANKNIFTY20073021400PE,2020,0.25,0.25
06-08-2020 15:15,06-08-2020,06-08-2020,06-08-2020,21659.05,21900,21400,BANKNIFTY20080621900CE,BANKNIFTY20080621400PE,2020,0.2,0.2
13-08-2020 15:15,13-08-2020,13-08-2020,13-08-2020,22196.5,22450,21950,BANKNIFTY20081322450CE,BANKNIFTY20081321950PE,2020,,
20-08-2020 15:15,20-08-2020,20-08-2020,20-08-2020,21989.3,22250,21750,BANKNIFTY20082022250CE,BANKNIFTY20082021750PE,2020,,
27-08-2020 15:15,27-08-2020,27-08-2020,27-08-2020,23585.85,23850,23350,BANKNIFTY20082723850CE,BANKNIFTY20082723350PE,2020,,
03-09-2020 15:15,03-09-2020,03-09-2020,03-09-2020,23511.4,23750,23250,BANKNIFTY20090323750CE,BANKNIFTY20090323250PE,2020,,
10-09-2020 15:15,10-09-2020,10-09-2020,10-09-2020,22473.35,22700,22200,BANKNIFTY20091022700CE,BANKNIFTY20091022200PE,2020,0.25,0.25
17-09-2020 15:15,17-09-2020,17-09-2020,17-09-2020,22334.95,22600,22100,BANKNIFTY20091722600CE,BANKNIFTY20091722100PE,2020,0.25,0.15
24-09-2020 15:15,24-09-2020,24-09-2020,24-09-2020,20444.85,20700,20200,BANKNIFTY20092420700CE,BANKNIFTY20092420200PE,2020,0.3,0.15
01-10-2020 15:15,01-10-2020,01-10-2020,01-10-2020,22264,22500,22000,BANKNIFTY20100122500CE,BANKNIFTY20100122000PE,2020,0.15,0.25
08-10-2020 15:15,08-10-2020,08-10-2020,08-10-2020,23193.25,23450,22950,BANKNIFTY20100823450CE,BANKNIFTY20100822950PE,2020,,
15-10-2020 15:15,15-10-2020,15-10-2020,15-10-2020,22985.95,23250,22750,BANKNIFTY20101523250CE,BANKNIFTY20101522750PE,2020,,
22-10-2020 15:15,22-10-2020,22-10-2020,22-10-2020,24486.85,24750,24250,BANKNIFTY20102224750CE,BANKNIFTY20102224250PE,2020,,
29-10-2020 15:15,29-10-2020,29-10-2020,29-10-2020,24114.45,24350,23850,BANKNIFTY20102924350CE,BANKNIFTY20102923850PE,2020,,
05-11-2020 15:15,05-11-2020,05-11-2020,05-11-2020,26323.7,26550,26050,BANKNIFTY20110526550CE,BANKNIFTY20110526050PE,2020,,
12-11-2020 15:15,12-11-2020,12-11-2020,12-11-2020,28311.05,28550,28050,BANKNIFTY20111228550CE,BANKNIFTY20111228050PE,2020,,
19-11-2020 15:15,19-11-2020,19-11-2020,19-11-2020,28894.85,29150,28650,BANKNIFTY20111929150CE,BANKNIFTY20111928650PE,2020,,
26-11-2020 15:15,26-11-2020,26-11-2020,26-11-2020,29568.7,29800,29300,BANKNIFTY20112629800CE,BANKNIFTY20112629300PE,2020,0.35,0.25
03-12-2020 15:15,03-12-2020,03-12-2020,03-12-2020,29441.4,29700,29200,BANKNIFTY20120329700CE,BANKNIFTY20120329200PE,2020,0.3,0.4
10-12-2020 15:15,10-12-2020,10-12-2020,10-12-2020,30509.5,30750,30250,BANKNIFTY20121030750CE,BANKNIFTY20121030250PE,2020,,
17-12-2020 15:15,17-12-2020,17-12-2020,17-12-2020,30849.5,31100,30600,BANKNIFTY20121731100CE,BANKNIFTY20121730600PE,2020,0.2,0.35
24-12-2020 15:15,24-12-2020,24-12-2020,24-12-2020,30378.55,30650,30150,BANKNIFTY20122430650CE,BANKNIFTY20122430150PE,2020,,
31-12-2020 15:15,31-12-2020,31-12-2020,31-12-2020,31250.35,31500,31000,BANKNIFTY20123131500CE,BANKNIFTY20123131000PE,2020,0.3,0.3
07-01-2021 15:15,07-01-2021,07-01-2021,07-01-2021,31948.3,32200,31700,BANKNIFTY21010732200CE,BANKNIFTY21010731700PE,2021,0.25,0.35
14-01-2021 15:15,14-01-2021,14-01-2021,14-01-2021,32497.4,32750,32250,BANKNIFTY21011432750CE,BANKNIFTY21011432250PE,2021,,
21-01-2021 15:15,21-01-2021,21-01-2021,21-01-2021,32139.5,32400,31900,BANKNIFTY21012132400CE,BANKNIFTY21012131900PE,2021,0.85,1.5
28-01-2021 15:15,28-01-2021,28-01-2021,28-01-2021,30417.1,30650,30150,BANKNIFTY21012830650CE,BANKNIFTY21012830150PE,2021,,
04-02-2021 15:15,04-02-2021,04-02-2021,04-02-2021,35304.75,35550,35050,BANKNIFTY21020435550CE,BANKNIFTY21020435050PE,2021,,
11-02-2021 15:15,11-02-2021,11-02-2021,11-02-2021,35759,36000,35500,BANKNIFTY21021136000CE,BANKNIFTY21021135500PE,2021,0.4,0.35
18-02-2021 15:15,18-02-2021,18-02-2021,18-02-2021,36611.9,36850,36350,BANKNIFTY21021836850CE,BANKNIFTY21021836350PE,2021,,
25-02-2021 15:15,25-02-2021,25-02-2021,25-02-2021,36565.2,36800,36300,BANKNIFTY21022536800CE,BANKNIFTY21022536300PE,2021,0.45,0.3
04-03-2021 15:15,04-03-2021,04-03-2021,04-03-2021,35809.4,36050,35550,BANKNIFTY21030436050CE,BANKNIFTY21030435550PE,2021,,
