entryDt,relevantEntryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
10-09-2020 15:15,17-09-2020 15:15,10-09-2020,10-09-2020,10-09-2020,22473.35,22550,22350,BANKNIFTY20091722550CE,BANKNIFTY20091722350PE,2020,,
17-09-2020 15:15,24-09-2020 15:15,17-09-2020,17-09-2020,17-09-2020,22334.95,22450,22250,BANKNIFTY20092422450CE,BANKNIFTY20092422250PE,2020,,
24-09-2020 15:15,01-10-2020 15:15,24-09-2020,24-09-2020,24-09-2020,20444.85,20550,20350,BANKNIFTY20100120550CE,BANKNIFTY20100120350PE,2020,,
01-10-2020 15:15,08-10-2020 15:15,01-10-2020,01-10-2020,01-10-2020,22264,22350,22150,BANKNIFTY20100822350CE,BANKNIFTY20100822150PE,2020,,
08-10-2020 15:15,15-10-2020 15:15,08-10-2020,08-10-2020,08-10-2020,23193.25,23300,23100,BANKNIFTY20101523300CE,BANKNIFTY20101523100PE,2020,341.75,371.35
15-10-2020 15:15,22-10-2020 15:15,15-10-2020,15-10-2020,15-10-2020,22985.95,23100,22900,BANKNIFTY20102223100CE,BANKNIFTY20102222900PE,2020,398,396.55
22-10-2020 15:15,29-10-2020 15:15,22-10-2020,22-10-2020,22-10-2020,24486.85,24600,24400,BANKNIFTY20102924600CE,BANKNIFTY20102924400PE,2020,420.05,381.65
29-10-2020 15:15,05-11-2020 15:15,29-10-2020,29-10-2020,29-10-2020,24114.45,24200,24000,BANKNIFTY20110524200CE,BANKNIFTY20110524000PE,2020,520.1,525.3
05-11-2020 15:15,12-11-2020 15:15,05-11-2020,05-11-2020,05-11-2020,26323.7,26400,26200,BANKNIFTY20111226400CE,BANKNIFTY20111226200PE,2020,415,449.9
12-11-2020 15:15,19-11-2020 15:15,12-11-2020,12-11-2020,12-11-2020,28311.05,28400,28200,BANKNIFTY20111928400CE,BANKNIFTY20111928200PE,2020,472.75,433.55
19-11-2020 15:15,26-11-2020 15:15,19-11-2020,19-11-2020,19-11-2020,28894.85,29000,28800,BANKNIFTY20112629000CE,BANKNIFTY20112628800PE,2020,439.85,440
26-11-2020 15:15,03-12-2020 15:15,26-11-2020,26-11-2020,26-11-2020,29568.7,29650,29450,BANKNIFTY20120329650CE,BANKNIFTY20120329450PE,2020,,
03-12-2020 15:15,10-12-2020 15:15,03-12-2020,03-12-2020,03-12-2020,29441.4,29550,29350,BANKNIFTY20121029550CE,BANKNIFTY20121029350PE,2020,,
10-12-2020 15:15,17-12-2020 15:15,10-12-2020,10-12-2020,10-12-2020,30509.5,30600,30400,BANKNIFTY20121730600CE,BANKNIFTY20121730400PE,2020,414.95,334.85
17-12-2020 15:15,24-12-2020 15:15,17-12-2020,17-12-2020,17-12-2020,30849.5,30950,30750,BANKNIFTY20122430950CE,BANKNIFTY20122430750PE,2020,,
24-12-2020 15:15,31-12-2020 15:15,24-12-2020,24-12-2020,24-12-2020,30378.55,30500,30300,BANKNIFTY20123130500CE,BANKNIFTY20123130300PE,2020,299.4,272.15
31-12-2020 15:15,07-01-2021 15:15,31-12-2020,31-12-2020,31-12-2020,31250.35,31350,31150,BANKNIFTY21010731350CE,BANKNIFTY21010731150PE,2020,,
07-01-2021 15:15,14-01-2021 15:15,07-01-2021,07-01-2021,07-01-2021,31948.3,32050,31850,BANKNIFTY21011432050CE,BANKNIFTY21011431850PE,2021,,
14-01-2021 15:15,21-01-2021 15:15,14-01-2021,14-01-2021,14-01-2021,32497.4,32600,32400,BANKNIFTY21012132600CE,BANKNIFTY21012132400PE,2021,419.75,351.8
21-01-2021 15:15,28-01-2021 15:15,21-01-2021,21-01-2021,21-01-2021,32139.5,32250,32050,BANKNIFTY21012832250CE,BANKNIFTY21012832050PE,2021,,
28-01-2021 15:15,04-02-2021 15:15,28-01-2021,28-01-2021,28-01-2021,30417.1,30500,30300,BANKNIFTY21020430500CE,BANKNIFTY21020430300PE,2021,562.3,568.2
04-02-2021 15:15,11-02-2021 15:15,04-02-2021,04-02-2021,04-02-2021,35304.75,35400,35200,BANKNIFTY21021135400CE,BANKNIFTY21021135200PE,2021,500,574.5
11-02-2021 15:15,18-02-2021 15:15,11-02-2021,11-02-2021,11-02-2021,35759,35850,35650,BANKNIFTY21021835850CE,BANKNIFTY21021835650PE,2021,,
18-02-2021 15:15,25-02-2021 15:15,18-02-2021,18-02-2021,18-02-2021,36611.9,36700,36500,BANKNIFTY21022536700CE,BANKNIFTY21022536500PE,2021,474,453.5
25-02-2021 15:15,04-03-2021 15:15,25-02-2021,25-02-2021,25-02-2021,36565.2,36650,36450,BANKNIFTY21030436650CE,BANKNIFTY21030436450PE,2021,,
04-03-2021 15:15,10-03-2021 15:15,04-03-2021,04-03-2021,04-03-2021,35809.4,35900,35700,BANKNIFTY21031035900CE,BANKNIFTY21031035700PE,2021,591.85,570.85
10-03-2021 15:15,18-03-2021 15:15,10-03-2021,10-03-2021,10-03-2021,35935.8,36050,35850,BANKNIFTY21031836050CE,BANKNIFTY21031835850PE,2021,,
18-03-2021 15:15,25-03-2021 15:15,18-03-2021,18-03-2021,18-03-2021,33931,34050,33850,BANKNIFTY21032534050CE,BANKNIFTY21032533850PE,2021,,
25-03-2021 15:15,01-04-2021 15:15,25-03-2021,25-03-2021,25-03-2021,32938.5,33050,32850,BANKNIFTY21040133050CE,BANKNIFTY21040132850PE,2021,,
01-04-2021 15:15,08-04-2021 15:15,01-04-2021,01-04-2021,01-04-2021,33942.1,34050,33850,BANKNIFTY21040834050CE,BANKNIFTY21040833850PE,2021,,
